stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6876,0.0111
0.0,conformal_risk_filter,0.7117,0.0153
0.0,proposed_branch_mechanism,0.7529,0.0097
0.0,oracle_branch_upper_bound,0.8121,0.0106
0.2,scalar_uncertainty_planner,0.6343,0.0110
0.2,conformal_risk_filter,0.6624,0.0193
0.2,proposed_branch_mechanism,0.7269,0.0108
0.2,oracle_branch_upper_bound,0.7929,0.0125
0.4,scalar_uncertainty_planner,0.5745,0.0121
0.4,conformal_risk_filter,0.6212,0.0178
0.4,proposed_branch_mechanism,0.7007,0.0106
0.4,oracle_branch_upper_bound,0.7733,0.0119
0.6,scalar_uncertainty_planner,0.5221,0.0080
0.6,conformal_risk_filter,0.5805,0.0170
0.6,proposed_branch_mechanism,0.6721,0.0090
0.6,oracle_branch_upper_bound,0.7526,0.0106
0.8,scalar_uncertainty_planner,0.4676,0.0142
0.8,conformal_risk_filter,0.5352,0.0158
0.8,proposed_branch_mechanism,0.6450,0.0100
0.8,oracle_branch_upper_bound,0.7355,0.0109
1.0,scalar_uncertainty_planner,0.4083,0.0139
1.0,conformal_risk_filter,0.4907,0.0165
1.0,proposed_branch_mechanism,0.6150,0.0104
1.0,oracle_branch_upper_bound,0.7164,0.0124
