method,stress_level,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
chance_constrained_contact_mpc,0.000000,0.714760,0.000657,0.710001,0.000872,0.097966,0.000166,0.077648,0.000162,0.614650,0.000149,0.538091,0.000157,0.275748,0.000074,0.091613,0.000306,0.055135,0.000165,0.050262,0.000067,0.145611,0.000070,0.112741,0.000165,0.099728,0.000159,3840
chance_constrained_contact_mpc,0.150000,0.697045,0.000686,0.663687,0.000984,0.107131,0.000198,0.090328,0.000216,0.606494,0.000154,0.529355,0.000165,0.279236,0.000076,0.103728,0.000366,0.062460,0.000184,0.054125,0.000070,0.149642,0.000074,0.126080,0.000211,0.112255,0.000204,3840
chance_constrained_contact_mpc,0.300000,0.678692,0.000725,0.616723,0.001120,0.116297,0.000234,0.103019,0.000273,0.598337,0.000160,0.520617,0.000176,0.282723,0.000078,0.115842,0.000433,0.069785,0.000207,0.057987,0.000073,0.153690,0.000078,0.139424,0.000260,0.124787,0.000252,3840
chance_constrained_contact_mpc,0.450000,0.659700,0.000778,0.569111,0.001278,0.125463,0.000273,0.115723,0.000331,0.590179,0.000168,0.511878,0.000189,0.286211,0.000081,0.127957,0.000505,0.077110,0.000234,0.061850,0.000078,0.157754,0.000083,0.152772,0.000311,0.137324,0.000302,3840
chance_constrained_contact_mpc,0.600000,0.640070,0.000844,0.520849,0.001454,0.134629,0.000313,0.128437,0.000390,0.582020,0.000178,0.503139,0.000205,0.289699,0.000084,0.140072,0.000580,0.084435,0.000262,0.065712,0.000083,0.161835,0.000089,0.166125,0.000363,0.149865,0.000352,3840
chance_constrained_contact_mpc,0.750000,0.619802,0.000924,0.471937,0.001646,0.143794,0.000354,0.141163,0.000449,0.573860,0.000189,0.494399,0.000222,0.293186,0.000088,0.152187,0.000657,0.091761,0.000292,0.069575,0.000088,0.165932,0.000096,0.179484,0.000416,0.162412,0.000404,3840
chance_constrained_contact_mpc,0.900000,0.598896,0.001020,0.422376,0.001851,0.152960,0.000397,0.153901,0.000509,0.565699,0.000202,0.485658,0.000240,0.296674,0.000092,0.164301,0.000735,0.099086,0.000323,0.073437,0.000094,0.170046,0.000103,0.192847,0.000469,0.174963,0.000455,3840
dual_price_contact_budget_controller_v5,0.000000,0.825512,0.000665,1.073966,0.000767,0.024150,0.000162,0.018887,0.000140,0.735075,0.000149,0.723290,0.000163,0.172573,0.000076,0.000930,0.000092,0.002177,0.000096,0.016809,0.000066,0.066968,0.000070,0.044611,0.000114,0.018963,0.000103,3840
dual_price_contact_budget_controller_v5,0.150000,0.814920,0.000677,1.044351,0.000878,0.030075,0.000189,0.026850,0.000189,0.727431,0.000152,0.715654,0.000165,0.175988,0.000077,0.005700,0.000253,0.007682,0.000171,0.020532,0.000068,0.070814,0.000073,0.053554,0.000174,0.026553,0.000162,3840
dual_price_contact_budget_controller_v5,0.300000,0.804036,0.000692,1.012225,0.000998,0.035999,0.000220,0.035045,0.000241,0.719767,0.000158,0.707544,0.000175,0.179467,0.000080,0.014834,0.000400,0.014783,0.000206,0.024306,0.000072,0.074667,0.000077,0.063753,0.000234,0.035399,0.000221,3840
