method,stress_level,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
dual_price_contact_budget_controller_v5,0.450000,0.792859,0.000712,0.978731,0.001112,0.041923,0.000253,0.043368,0.000293,0.712092,0.000165,0.699176,0.000189,0.182954,0.000083,0.026345,0.000498,0.022108,0.000233,0.028110,0.000077,0.078528,0.000081,0.074560,0.000287,0.044853,0.000271,3840
dual_price_contact_budget_controller_v5,0.600000,0.781390,0.000736,0.944741,0.001230,0.047847,0.000288,0.051721,0.000345,0.704414,0.000173,0.690757,0.000204,0.186442,0.000086,0.038318,0.000581,0.029433,0.000261,0.031919,0.000082,0.082397,0.000086,0.085482,0.000336,0.054422,0.000318,3840
dual_price_contact_budget_controller_v5,0.750000,0.769628,0.000766,0.910392,0.001356,0.053771,0.000324,0.060087,0.000397,0.696735,0.000183,0.682322,0.000220,0.189930,0.000090,0.050433,0.000658,0.036758,0.000291,0.035730,0.000087,0.086273,0.000092,0.096441,0.000383,0.064027,0.000363,3840
dual_price_contact_budget_controller_v5,0.900000,0.757574,0.000801,0.875746,0.001491,0.059695,0.000361,0.068458,0.000449,0.689055,0.000194,0.673887,0.000238,0.193417,0.000094,0.062548,0.000735,0.044083,0.000322,0.039540,0.000093,0.090157,0.000097,0.107401,0.000431,0.073635,0.000409,3840
oracle_contact_scheduler,0.000000,0.910063,0.000666,1.236884,0.000646,0.000000,0.000000,0.000000,0.000000,0.806043,0.000148,0.794290,0.000162,0.141238,0.000075,0.000000,0.000000,0.000000,0.000000,0.002861,0.000064,0.050273,0.000068,0.032387,0.000039,0.000400,0.000009,3840
oracle_contact_scheduler,0.150000,0.903503,0.000673,1.224613,0.000674,0.000205,0.000025,0.000608,0.000047,0.799218,0.000150,0.787652,0.000162,0.144433,0.000076,0.000180,0.000034,0.000000,0.000000,0.006385,0.000068,0.054014,0.000071,0.034869,0.000052,0.001259,0.000029,3840
oracle_contact_scheduler,0.300000,0.896823,0.000680,1.209573,0.000762,0.001437,0.000088,0.002768,0.000143,0.792226,0.000155,0.780749,0.000166,0.147629,0.000078,0.001840,0.000152,0.000036,0.000010,0.009995,0.000072,0.057758,0.000074,0.038694,0.000115,0.003460,0.000098,3840
oracle_contact_scheduler,0.450000,0.890023,0.000690,1.190720,0.000905,0.003910,0.000164,0.006468,0.000238,0.785061,0.000164,0.773376,0.000177,0.150856,0.000081,0.006951,0.000331,0.000840,0.000075,0.013667,0.000076,0.061506,0.000078,0.044447,0.000206,0.007589,0.000187,3840
oracle_contact_scheduler,0.600000,0.883104,0.000700,1.168445,0.001062,0.007231,0.000237,0.011610,0.000312,0.777743,0.000173,0.765598,0.000193,0.154148,0.000085,0.014959,0.000502,0.003290,0.000173,0.017387,0.000082,0.065256,0.000083,0.051936,0.000290,0.013455,0.000269,3840
oracle_contact_scheduler,0.750000,0.876065,0.000713,1.143281,0.001195,0.011296,0.000297,0.017494,0.000372,0.770339,0.000184,0.757461,0.000212,0.157532,0.000089,0.025892,0.000618,0.008008,0.000266,0.021153,0.000088,0.069009,0.000088,0.060911,0.000356,0.020807,0.000332,3840
oracle_contact_scheduler,0.900000,0.868907,0.000728,1.116799,0.001317,0.015856,0.000342,0.023640,0.000423,0.762896,0.000195,0.749246,0.000231,0.160991,0.000093,0.037393,0.000725,0.014637,0.000322,0.024935,0.000094,0.072766,0.000093,0.070522,0.000413,0.028793,0.000386,3840
proposed_contact_budget_controller_v4_1,0.000000,0.775690,0.000660,0.915770,0.000854,0.063066,0.000163,0.048108,0.000153,0.673415,0.000153,0.661115,0.000157,0.202835,0.000075,0.029447,0.000306,0.030972,0.000166,0.036145,0.000067,0.073823,0.000070,0.070107,0.000160,0.056903,0.000153,3840
proposed_contact_budget_controller_v4_1,0.150000,0.761804,0.000678,0.876624,0.000944,0.070541,0.000192,0.058303,0.000203,0.665529,0.000157,0.652552,0.000164,0.206323,0.000076,0.041562,0.000366,0.038297,0.000186,0.039981,0.000070,0.077755,0.000073,0.081958,0.000203,0.067807,0.000195,3840
proposed_contact_budget_controller_v4_1,0.300000,0.747480,0.000703,0.837033,0.001054,0.078015,0.000226,0.068505,0.000256,0.657642,0.000163,0.643988,0.000174,0.209810,0.000079,0.053676,0.000434,0.045622,0.000209,0.043816,0.000074,0.081698,0.000077,0.093813,0.000250,0.078715,0.000240,3840
proposed_contact_budget_controller_v4_1,0.450000,0.732717,0.000735,0.796994,0.001182,0.085490,0.000261,0.078716,0.000310,0.649754,0.000171,0.635424,0.000187,0.213298,0.000081,0.065791,0.000506,0.052947,0.000236,0.047652,0.000079,0.085652,0.000081,0.105671,0.000298,0.089626,0.000286,3840
proposed_contact_budget_controller_v4_1,0.600000,0.717516,0.000775,0.756510,0.001323,0.092964,0.000299,0.088935,0.000364,0.641865,0.000180,0.626860,0.000202,0.216785,0.000085,0.077906,0.000581,0.060272,0.000265,0.051487,0.000084,0.089618,0.000087,0.117533,0.000347,0.100541,0.000334,3840
proposed_contact_budget_controller_v4_1,0.750000,0.701875,0.000824,0.715579,0.001477,0.100439,0.000338,0.099161,0.000419,0.633976,0.000191,0.618295,0.000218,0.220273,0.000088,0.090021,0.000658,0.067597,0.000295,0.055322,0.000089,0.093595,0.000093,0.129397,0.000396,0.111458,0.000382,3840
proposed_contact_budget_controller_v4_1,0.900000,0.685796,0.000883,0.674201,0.001642,0.107913,0.000377,0.109396,0.000475,0.626086,0.000202,0.609729,0.000236,0.223761,0.000092,0.102135,0.000736,0.074922,0.000326,0.059158,0.000095,0.097583,0.000099,0.141266,0.000446,0.122379,0.000430,3840
risk_aware_contact_planner,0.000000,0.709766,0.000662,0.690405,0.000880,0.111209,0.000171,0.091034,0.000163,0.584692,0.000149,0.544209,0.000157,0.233890,0.000074,0.087962,0.000306,0.073848,0.000164,0.059834,0.000067,0.081343,0.000069,0.117351,0.000167,0.112635,0.000162,3840
risk_aware_contact_planner,0.150000,0.690565,0.000695,0.641465,0.001000,0.120798,0.000203,0.104692,0.000219,0.576437,0.000153,0.535404,0.000165,0.237378,0.000076,0.100076,0.000367,0.081173,0.000184,0.063703,0.000070,0.085413,0.000072,0.131009,0.000214,0.125718,0.000208,3840
risk_aware_contact_planner,0.300000,0.670647,0.000741,0.591795,0.001146,0.130386,0.000240,0.118362,0.000278,0.568181,0.000159,0.526597,0.000176,0.240866,0.000078,0.112191,0.000435,0.088498,0.000207,0.067572,0.000073,0.089501,0.000077,0.144671,0.000264,0.138805,0.000257,3840
risk_aware_contact_planner,0.450000,0.650011,0.000802,0.541394,0.001316,0.139975,0.000280,0.132046,0.000337,0.559925,0.000167,0.517790,0.000189,0.244353,0.000081,0.124306,0.000507,0.095824,0.000234,0.071442,0.000078,0.093608,0.000082,0.158340,0.000315,0.151899,0.000308,3840
risk_aware_contact_planner,0.600000,0.628656,0.000879,0.490263,0.001504,0.149563,0.000321,0.145742,0.000398,0.551666,0.000177,0.508982,0.000204,0.247841,0.000084,0.136421,0.000582,0.103149,0.000262,0.075311,0.000083,0.097734,0.000088,0.172013,0.000368,0.164997,0.000360,3840
risk_aware_contact_planner,0.750000,0.606584,0.000972,0.438401,0.001710,0.159152,0.000363,0.159452,0.000459,0.543407,0.000188,0.500173,0.000221,0.251329,0.000087,0.148535,0.000659,0.110474,0.000292,0.079180,0.000088,0.101878,0.000095,0.185692,0.000421,0.178101,0.000412,3840
risk_aware_contact_planner,0.900000,0.583794,0.001082,0.385808,0.001931,0.168740,0.000405,0.173174,0.000520,0.535147,0.000201,0.491364,0.000239,0.254816,0.000091,0.160650,0.000737,0.117799,0.000323,0.083049,0.000094,0.106041,0.000102,0.199377,0.000474,0.191211,0.000465,3840
whole_body_mpc,0.000000,0.656649,0.000664,0.518913,0.000901,0.158537,0.000174,0.131597,0.000174,0.541884,0.000150,0.476681,0.000161,0.236692,0.000073,0.128386,0.000307,0.120074,0.000163,0.079497,0.000068,0.056355,0.000070,0.153185,0.000173,0.162957,0.000168,3840
whole_body_mpc,0.150000,0.633256,0.000713,0.462190,0.001049,0.169535,0.000208,0.148268,0.000235,0.533322,0.000155,0.467665,0.000169,0.240180,0.000075,0.140501,0.000367,0.127399,0.000182,0.083389,0.000071,0.060533,0.000074,0.168184,0.000222,0.177787,0.000218,3840
whole_body_mpc,0.300000,0.608899,0.000782,0.404485,0.001229,0.180533,0.000248,0.164957,0.000299,0.524759,0.000162,0.458647,0.000181,0.243668,0.000077,0.152616,0.000435,0.134725,0.000206,0.087281,0.000075,0.064737,0.000079,0.183191,0.000275,0.192625,0.000271,3840
whole_body_mpc,0.450000,0.583579,0.000873,0.345799,0.001436,0.191531,0.000289,0.181663,0.000364,0.516193,0.000171,0.449628,0.000194,0.247155,0.000080,0.164730,0.000507,0.142050,0.000232,0.091173,0.000079,0.068966,0.000085,0.198205,0.000329,0.207470,0.000325,3840
whole_body_mpc,0.600000,0.557294,0.000987,0.286133,0.001667,0.202529,0.000333,0.198386,0.000430,0.507627,0.000181,0.440608,0.000210,0.250643,0.000084,0.176845,0.000581,0.149375,0.000261,0.095065,0.000085,0.073220,0.000091,0.213226,0.000384,0.222322,0.000380,3840
whole_body_mpc,0.750000,0.530046,0.001123,0.225486,0.001918,0.213527,0.000377,0.215127,0.000497,0.499058,0.000193,0.431587,0.000228,0.254131,0.000087,0.188960,0.000658,0.156700,0.000291,0.098956,0.000090,0.077499,0.000099,0.228255,0.000440,0.237181,0.000436,3840
whole_body_mpc,0.900000,0.501833,0.001280,0.163858,0.002188,0.224525,0.000422,0.231885,0.000564,0.490489,0.000206,0.422565,0.000246,0.257618,0.000091,0.201075,0.000736,0.164025,0.000322,0.102848,0.000096,0.081803,0.000107,0.243291,0.000497,0.252048,0.000492,3840
