method,split,task,regime,mean_success_rate,ci95_success_rate,mean_contact_precision,ci95_contact_precision,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_controller,combined_stress,box_lift_rebalance,unexpected_push,0.511905,0.041366,0.503228,0.001280,0.224346,0.000960,0.113501,0.001325,0.524770,0.001275,0.422782,0.001275,0.280350,0.000659,0.091278,0.001909,7,84
cbf_safety_controller,combined_stress,door_open_step_through,compound_contact_scarcity,0.501701,0.039252,0.503164,0.001460,0.239743,0.002827,0.126074,0.001103,0.504492,0.003751,0.426843,0.001479,0.285926,0.001941,0.095122,0.000722,7,84
cbf_safety_controller,combined_stress,door_open_step_through,contact_dropout,0.542517,0.022690,0.502030,0.003815,0.226287,0.000999,0.116435,0.002758,0.510720,0.005122,0.419922,0.001508,0.280363,0.000686,0.092168,0.000688,7,84
cbf_safety_controller,combined_stress,door_open_step_through,narrow_support_polygon,0.532313,0.038006,0.513758,0.001421,0.223783,0.002837,0.114346,0.001120,0.519559,0.001424,0.425750,0.001426,0.281720,0.001948,0.089781,0.000702,7,84
cbf_safety_controller,combined_stress,door_open_step_through,nominal_contacts,0.549320,0.040870,0.526210,0.001344,0.204769,0.003596,0.102266,0.000875,0.527107,0.001378,0.438405,0.004767,0.276067,0.002469,0.087935,0.002451,7,84
cbf_safety_controller,combined_stress,door_open_step_through,one_hand_occupied,0.576531,0.044054,0.514101,0.001357,0.220353,0.001018,0.109650,0.001427,0.519318,0.001347,0.433872,0.003781,0.280940,0.000699,0.093185,0.000701,7,84
cbf_safety_controller,combined_stress,door_open_step_through,slippery_foot_contact,0.578231,0.035953,0.519535,0.001408,0.215565,0.003564,0.108814,0.000840,0.519998,0.001443,0.429245,0.004750,0.279091,0.002447,0.087579,0.000674,7,84
cbf_safety_controller,combined_stress,door_open_step_through,unexpected_push,0.532313,0.042514,0.511514,0.003815,0.224537,0.003921,0.118107,0.001351,0.516973,0.001316,0.430529,0.003803,0.280599,0.002693,0.093484,0.002649,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,compound_contact_scarcity,0.433673,0.062123,0.499095,0.005147,0.234358,0.001075,0.126719,0.003281,0.523323,0.004659,0.423280,0.001660,0.282081,0.000738,0.097101,0.000741,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,contact_dropout,0.482993,0.045785,0.510333,0.001306,0.230182,0.003937,0.121378,0.001336,0.525700,0.001308,0.421592,0.001311,0.282890,0.002703,0.097051,0.000610,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,narrow_support_polygon,0.477891,0.034694,0.509284,0.001395,0.223240,0.001047,0.113633,0.001267,0.528906,0.003776,0.428732,0.001384,0.281200,0.000719,0.093922,0.001888,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,nominal_contacts,0.566327,0.042557,0.518640,0.001319,0.203620,0.000989,0.098251,0.000976,0.544957,0.003835,0.436218,0.005205,0.275130,0.000679,0.085945,0.000682,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,one_hand_occupied,0.505102,0.015154,0.511240,0.005228,0.214159,0.000999,0.112071,0.002513,0.536981,0.001446,0.433689,0.001483,0.276539,0.000686,0.090038,0.002387,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,slippery_foot_contact,0.578231,0.026874,0.517213,0.001383,0.218351,0.001037,0.108087,0.000877,0.533784,0.004766,0.429806,0.001395,0.280857,0.000712,0.090562,0.002576,7,84
cbf_safety_controller,combined_stress,fallen_object_pickup,unexpected_push,0.530612,0.023805,0.508383,0.001306,0.228432,0.000979,0.115945,0.000665,0.530022,0.005231,0.425800,0.005225,0.283126,0.000673,0.093794,0.000675,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,compound_contact_scarcity,0.479592,0.032886,0.498482,0.001472,0.237726,0.001104,0.124082,0.000733,0.499348,0.005101,0.426096,0.001501,0.284571,0.000758,0.095390,0.002339,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,contact_dropout,0.564626,0.022690,0.501549,0.001344,0.227421,0.001008,0.114543,0.001096,0.500624,0.001334,0.425656,0.001332,0.281171,0.000692,0.093444,0.000695,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,narrow_support_polygon,0.574830,0.029565,0.506220,0.001434,0.219624,0.001075,0.110379,0.002175,0.507084,0.001499,0.426849,0.004666,0.278894,0.000738,0.094304,0.000741,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,nominal_contacts,0.617347,0.033166,0.524394,0.004786,0.201472,0.003590,0.101747,0.000924,0.513322,0.004738,0.433568,0.001395,0.273833,0.002465,0.085043,0.001928,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,one_hand_occupied,0.578231,0.059129,0.517811,0.001370,0.217770,0.003898,0.111245,0.001705,0.506379,0.004801,0.427563,0.001370,0.279196,0.002677,0.090780,0.002633,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,slippery_foot_contact,0.556122,0.030852,0.511044,0.001421,0.212407,0.001066,0.105987,0.002224,0.506514,0.001500,0.436179,0.001526,0.276952,0.000732,0.091642,0.000734,7,84
cbf_safety_controller,combined_stress,push_cart_with_footstep,unexpected_push,0.559524,0.049366,0.508746,0.005218,0.222241,0.002858,0.117014,0.002411,0.504551,0.005214,0.422490,0.001445,0.279052,0.001962,0.091275,0.001949,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,compound_contact_scarcity,0.491497,0.024795,0.506652,0.005107,0.223162,0.001114,0.119695,0.002645,0.525891,0.001613,0.427848,0.001653,0.276662,0.000765,0.093032,0.000767,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,contact_dropout,0.559524,0.033389,0.518178,0.001357,0.219202,0.003906,0.114064,0.001092,0.530858,0.003774,0.428754,0.003831,0.276475,0.002654,0.088556,0.002639,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,narrow_support_polygon,0.586735,0.024267,0.518700,0.005137,0.208293,0.002830,0.107215,0.002061,0.526443,0.001544,0.439693,0.003709,0.273204,0.001944,0.087292,0.000715,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,nominal_contacts,0.637755,0.060000,0.528989,0.001370,0.194517,0.001027,0.092434,0.001762,0.541110,0.001357,0.445787,0.004749,0.271149,0.000705,0.083305,0.000708,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,one_hand_occupied,0.585034,0.033555,0.516432,0.001383,0.206335,0.001037,0.101267,0.000532,0.532801,0.001414,0.440712,0.003790,0.273435,0.000712,0.085984,0.000714,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,slippery_foot_contact,0.598639,0.044012,0.526203,0.003778,0.203085,0.003860,0.103557,0.001019,0.535374,0.004737,0.437932,0.001473,0.272642,0.002651,0.083714,0.000676,7,84
cbf_safety_controller,heldout_disturbance,bimanual_shelf_reach,unexpected_push,0.562925,0.039016,0.516100,0.001357,0.217355,0.001018,0.109622,0.001340,0.530429,0.001347,0.439630,0.001345,0.277789,0.000699,0.089807,0.000701,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,compound_contact_scarcity,0.484694,0.038006,0.507178,0.001460,0.229060,0.001095,0.119444,0.001287,0.533165,0.003800,0.428823,0.001452,0.280664,0.000752,0.090495,0.002343,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,contact_dropout,0.551020,0.029123,0.509629,0.001331,0.218293,0.000999,0.110017,0.000950,0.531533,0.004784,0.427760,0.001341,0.276947,0.000686,0.088233,0.000688,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,narrow_support_polygon,0.579932,0.032489,0.521764,0.001421,0.212664,0.003558,0.108133,0.000972,0.540769,0.001433,0.431695,0.001438,0.276158,0.002443,0.084856,0.000680,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,nominal_contacts,0.586735,0.015031,0.532553,0.003810,0.194118,0.003914,0.096640,0.000294,0.548912,0.001375,0.447222,0.003792,0.269683,0.002659,0.082187,0.002667,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,one_hand_occupied,0.545918,0.033166,0.520675,0.001357,0.209875,0.001018,0.104640,0.000894,0.539036,0.001372,0.440593,0.001378,0.275818,0.000699,0.087554,0.000701,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,slippery_foot_contact,0.522109,0.025676,0.526301,0.001408,0.205231,0.003564,0.104521,0.000898,0.539872,0.001409,0.440685,0.004762,0.274068,0.002447,0.083190,0.001887,7,84
cbf_safety_controller,heldout_disturbance,box_lift_rebalance,unexpected_push,0.513605,0.019341,0.514411,0.005228,0.211302,0.000999,0.110794,0.002593,0.539990,0.001469,0.436010,0.004684,0.273584,0.000686,0.085971,0.001899,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,compound_contact_scarcity,0.501701,0.052033,0.508794,0.001511,0.229700,0.001133,0.119754,0.001662,0.518900,0.001493,0.430182,0.001490,0.281180,0.000778,0.090684,0.000780,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,contact_dropout,0.591837,0.056405,0.515255,0.004769,0.216795,0.003577,0.112764,0.001928,0.518870,0.001462,0.437544,0.001487,0.275995,0.002456,0.086963,0.000661,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,narrow_support_polygon,0.571429,0.043801,0.516122,0.004710,0.207859,0.001104,0.106215,0.002360,0.528505,0.001588,0.437374,0.001625,0.272936,0.000758,0.088190,0.001875,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,nominal_contacts,0.629252,0.058373,0.532976,0.001395,0.195578,0.002844,0.094651,0.001585,0.528995,0.001391,0.447537,0.001391,0.271906,0.001953,0.080649,0.002372,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,one_hand_occupied,0.566327,0.017533,0.522755,0.001408,0.210862,0.001056,0.105122,0.000789,0.522940,0.001413,0.442405,0.001416,0.276573,0.000725,0.084551,0.002361,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,slippery_foot_contact,0.585034,0.054467,0.525862,0.003769,0.204329,0.003845,0.103745,0.000820,0.523607,0.001529,0.440060,0.005063,0.272382,0.002612,0.084614,0.000689,7,84
cbf_safety_controller,heldout_disturbance,door_open_step_through,unexpected_push,0.561224,0.027148,0.517751,0.001383,0.218379,0.001037,0.110505,0.000427,0.518332,0.003789,0.434557,0.001420,0.278521,0.000712,0.088268,0.002576,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,compound_contact_scarcity,0.503401,0.033665,0.505440,0.001485,0.227900,0.001114,0.118084,0.001076,0.531718,0.004680,0.432055,0.003774,0.279848,0.000765,0.089439,0.001872,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,contact_dropout,0.493197,0.062952,0.510553,0.004786,0.215699,0.001018,0.112874,0.003393,0.532536,0.001538,0.431093,0.001594,0.275146,0.000699,0.087341,0.000701,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,narrow_support_polygon,0.517007,0.032942,0.514650,0.001447,0.210902,0.001085,0.106004,0.001292,0.543132,0.001433,0.431888,0.001430,0.274928,0.000745,0.087963,0.002348,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,nominal_contacts,0.639456,0.034048,0.532982,0.001370,0.196298,0.002851,0.094620,0.001017,0.549664,0.005197,0.438943,0.001381,0.271161,0.002416,0.082267,0.002603,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,one_hand_occupied,0.551020,0.044597,0.520609,0.001383,0.209969,0.001037,0.104523,0.001321,0.546059,0.003820,0.433983,0.003837,0.275863,0.000712,0.088497,0.000714,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,slippery_foot_contact,0.573129,0.019341,0.517394,0.001434,0.202125,0.001075,0.100962,0.002470,0.540514,0.001564,0.443754,0.001606,0.271916,0.000738,0.086523,0.000741,7,84
cbf_safety_controller,heldout_disturbance,fallen_object_pickup,unexpected_push,0.494898,0.029187,0.519908,0.001357,0.215568,0.003906,0.113158,0.000680,0.541018,0.004766,0.430228,0.003803,0.276494,0.002682,0.087476,0.002639,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,compound_contact_scarcity,0.562925,0.024795,0.507884,0.001524,0.228874,0.001143,0.117743,0.000785,0.512953,0.001533,0.433209,0.001538,0.280632,0.000785,0.090613,0.000786,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,contact_dropout,0.562925,0.027756,0.509399,0.001395,0.217405,0.001047,0.109393,0.001142,0.512618,0.005199,0.431140,0.001386,0.276433,0.000719,0.090159,0.000721,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,narrow_support_polygon,0.603741,0.020184,0.521503,0.003761,0.210037,0.003830,0.108239,0.000985,0.519500,0.001475,0.437284,0.001473,0.274450,0.002630,0.087882,0.000702,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,nominal_contacts,0.624150,0.024870,0.525785,0.003787,0.190041,0.001056,0.093071,0.002566,0.525893,0.004692,0.441969,0.001586,0.268123,0.000725,0.081936,0.000727,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,one_hand_occupied,0.622449,0.049291,0.516516,0.003783,0.204324,0.001066,0.102485,0.003205,0.516268,0.004976,0.437857,0.001638,0.272103,0.000732,0.086298,0.000734,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,slippery_foot_contact,0.610544,0.048496,0.523431,0.001472,0.205793,0.001104,0.100835,0.001516,0.513896,0.001462,0.441625,0.004699,0.274550,0.000758,0.082676,0.000760,7,84
cbf_safety_controller,heldout_disturbance,push_cart_with_footstep,unexpected_push,0.559524,0.032998,0.516468,0.005178,0.212128,0.002844,0.110609,0.002725,0.516480,0.001536,0.432501,0.004685,0.273105,0.000680,0.086781,0.000689,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,compound_contact_scarcity,0.586735,0.049554,0.512685,0.001421,0.224506,0.001066,0.115051,0.001230,0.527318,0.001438,0.434058,0.005147,0.278704,0.000732,0.088348,0.002560,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,contact_dropout,0.585034,0.045092,0.515860,0.005259,0.209137,0.000970,0.109606,0.002906,0.528498,0.001413,0.433461,0.001452,0.271827,0.000666,0.086375,0.002612,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,narrow_support_polygon,0.583333,0.026458,0.516239,0.001383,0.203265,0.001037,0.102563,0.002185,0.537671,0.001482,0.439695,0.005074,0.270872,0.000712,0.083976,0.000714,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,nominal_contacts,0.637755,0.023254,0.532459,0.001306,0.188793,0.000979,0.089477,0.001018,0.546750,0.003819,0.451610,0.003817,0.268338,0.000673,0.078370,0.000675,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,one_hand_occupied,0.585034,0.058151,0.522116,0.004812,0.198840,0.000989,0.100446,0.002905,0.538260,0.001471,0.444036,0.001519,0.269410,0.000679,0.082127,0.002391,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,slippery_foot_contact,0.613946,0.045501,0.525647,0.001370,0.199487,0.001027,0.097216,0.001398,0.541732,0.001365,0.442237,0.005196,0.271292,0.000705,0.083661,0.000708,7,84
cbf_safety_controller,heldout_layout,bimanual_shelf_reach,unexpected_push,0.600340,0.034480,0.523089,0.001293,0.210841,0.003622,0.107476,0.001228,0.532688,0.005267,0.437486,0.005269,0.274436,0.002487,0.086619,0.000615,7,84
cbf_safety_controller,heldout_layout,box_lift_rebalance,compound_contact_scarcity,0.520408,0.044887,0.512164,0.001395,0.224342,0.001047,0.116424,0.001658,0.531182,0.003771,0.433878,0.001356,0.278562,0.000719,0.089692,0.002365,7,84
