method,split,task,regime,mean_success_rate,ci95_success_rate,mean_contact_precision,ci95_contact_precision,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,compound_contact_scarcity,0.610544,0.033278,0.516338,0.001447,0.208437,0.001085,0.105327,0.001403,0.536494,0.001424,0.441562,0.005167,0.270201,0.000745,0.083732,0.001879,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,contact_dropout,0.569728,0.039252,0.527885,0.001319,0.204492,0.000989,0.103462,0.001390,0.536719,0.001304,0.442243,0.001301,0.271168,0.000679,0.081553,0.000682,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,narrow_support_polygon,0.612245,0.055042,0.531980,0.001408,0.196262,0.001056,0.097063,0.001634,0.542715,0.001399,0.452153,0.003822,0.268594,0.000725,0.077545,0.002565,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,nominal_contacts,0.668367,0.042731,0.536680,0.001331,0.173150,0.000999,0.082189,0.002358,0.556372,0.003835,0.457237,0.005153,0.260127,0.000686,0.070614,0.000688,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,one_hand_occupied,0.649660,0.065376,0.536428,0.003810,0.189051,0.003914,0.095480,0.001842,0.548710,0.001334,0.455030,0.001333,0.265218,0.002687,0.077224,0.002644,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,slippery_foot_contact,0.639456,0.036260,0.538797,0.001395,0.188825,0.002844,0.092551,0.001210,0.544142,0.001385,0.454335,0.001383,0.265357,0.002408,0.074732,0.002372,7,84
cbf_safety_controller,clean_deployment,bimanual_shelf_reach,unexpected_push,0.620748,0.022443,0.525903,0.001319,0.197572,0.000989,0.097596,0.000660,0.543318,0.005218,0.446447,0.005211,0.267855,0.000679,0.078197,0.000682,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,compound_contact_scarcity,0.503401,0.055711,0.517280,0.004744,0.205713,0.001066,0.110479,0.001877,0.546214,0.004703,0.440311,0.001538,0.268330,0.000732,0.082211,0.000734,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,contact_dropout,0.578231,0.033720,0.524325,0.001293,0.201822,0.000970,0.101305,0.001149,0.551451,0.001291,0.448400,0.001292,0.269335,0.000666,0.078926,0.000668,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,narrow_support_polygon,0.566327,0.036311,0.533172,0.001383,0.197156,0.001037,0.098819,0.001450,0.548282,0.003833,0.449086,0.001352,0.268064,0.001891,0.077351,0.002576,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,nominal_contacts,0.613946,0.032942,0.547520,0.001306,0.176135,0.003937,0.086822,0.000810,0.555435,0.001334,0.452197,0.001344,0.261033,0.002675,0.075278,0.000610,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,one_hand_occupied,0.603741,0.026805,0.531939,0.001319,0.190829,0.000989,0.093310,0.000794,0.555653,0.004798,0.451111,0.005203,0.266439,0.000679,0.076490,0.000682,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,slippery_foot_contact,0.602041,0.056895,0.537023,0.004778,0.184064,0.003583,0.094539,0.001028,0.551306,0.003798,0.450574,0.001451,0.263232,0.002461,0.074108,0.001926,7,84
cbf_safety_controller,clean_deployment,box_lift_rebalance,unexpected_push,0.544218,0.042514,0.522343,0.001293,0.194902,0.000970,0.099766,0.001820,0.548686,0.001375,0.445462,0.001402,0.266022,0.000666,0.077857,0.002400,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,compound_contact_scarcity,0.583333,0.027420,0.518234,0.001472,0.209859,0.001104,0.107021,0.001079,0.531452,0.005110,0.445832,0.001468,0.271177,0.000758,0.081297,0.002339,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,contact_dropout,0.596939,0.033555,0.522429,0.001344,0.200400,0.001008,0.099815,0.000686,0.531453,0.001371,0.446368,0.001380,0.268358,0.000692,0.079928,0.000695,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,narrow_support_polygon,0.637755,0.026387,0.526868,0.001434,0.192428,0.001075,0.093646,0.000655,0.537782,0.001452,0.447460,0.004713,0.265961,0.000738,0.079526,0.001881,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,nominal_contacts,0.634354,0.031269,0.542707,0.005208,0.172525,0.002854,0.085978,0.001993,0.543923,0.004753,0.454067,0.001478,0.259698,0.001960,0.070212,0.000670,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,one_hand_occupied,0.634354,0.051604,0.537931,0.001370,0.190178,0.003898,0.095529,0.001690,0.538784,0.005232,0.447579,0.001335,0.265992,0.002677,0.075731,0.002406,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,slippery_foot_contact,0.619048,0.030551,0.531349,0.001421,0.184954,0.001066,0.089065,0.000765,0.536877,0.001439,0.456457,0.001446,0.263843,0.000732,0.077831,0.000734,7,84
cbf_safety_controller,clean_deployment,door_open_step_through,unexpected_push,0.641156,0.045947,0.527307,0.005218,0.193480,0.001008,0.098686,0.003246,0.535528,0.005070,0.443404,0.001565,0.265045,0.000692,0.076571,0.000695,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,compound_contact_scarcity,0.578231,0.037019,0.521666,0.001447,0.212433,0.001085,0.109027,0.001474,0.553189,0.001422,0.440525,0.001416,0.272945,0.000745,0.079691,0.000747,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,contact_dropout,0.544218,0.026805,0.529086,0.003820,0.200247,0.003929,0.105543,0.000969,0.551655,0.001313,0.446332,0.001313,0.268254,0.002698,0.081034,0.002424,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,narrow_support_polygon,0.583333,0.019052,0.532182,0.004752,0.191269,0.003564,0.099820,0.000826,0.558905,0.001416,0.443764,0.001420,0.265165,0.002447,0.076515,0.000674,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,nominal_contacts,0.656463,0.033555,0.540352,0.001331,0.175904,0.000999,0.082203,0.001212,0.560161,0.003816,0.452497,0.001323,0.262018,0.000686,0.072586,0.000688,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,one_hand_occupied,0.593537,0.040231,0.528850,0.003810,0.186797,0.001008,0.094035,0.002606,0.559617,0.004730,0.448282,0.004714,0.263670,0.000692,0.074634,0.000695,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,slippery_foot_contact,0.554422,0.024343,0.534241,0.005178,0.181978,0.001047,0.094156,0.002665,0.560206,0.001536,0.452698,0.005026,0.261799,0.000719,0.074723,0.000721,7,84
cbf_safety_controller,clean_deployment,fallen_object_pickup,unexpected_push,0.576531,0.052387,0.529391,0.001319,0.200188,0.000989,0.100571,0.001740,0.549061,0.001290,0.443617,0.001283,0.269651,0.000679,0.080075,0.000682,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,compound_contact_scarcity,0.642857,0.039768,0.516689,0.003761,0.206985,0.001114,0.105776,0.001697,0.524825,0.004660,0.445889,0.001617,0.269204,0.000765,0.083241,0.002335,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,contact_dropout,0.639456,0.037663,0.525085,0.001357,0.202392,0.001018,0.100253,0.001345,0.528943,0.001344,0.448230,0.004805,0.269726,0.000699,0.081763,0.000701,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,narrow_support_polygon,0.656463,0.036868,0.533901,0.003774,0.192558,0.003853,0.097865,0.000889,0.525739,0.001478,0.451166,0.004717,0.266050,0.002646,0.077803,0.000682,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,nominal_contacts,0.685374,0.052880,0.537168,0.001370,0.173516,0.001027,0.080905,0.002036,0.538067,0.001442,0.461813,0.001466,0.260378,0.000705,0.072508,0.000708,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,one_hand_occupied,0.649660,0.048266,0.528770,0.003796,0.186737,0.001037,0.092644,0.003546,0.531484,0.001544,0.453848,0.003811,0.263629,0.000712,0.076145,0.000714,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,slippery_foot_contact,0.675170,0.043419,0.539717,0.001434,0.186084,0.003860,0.091975,0.001435,0.535382,0.004720,0.452436,0.001418,0.264619,0.002651,0.074505,0.000676,7,84
cbf_safety_controller,clean_deployment,push_cart_with_footstep,unexpected_push,0.624150,0.045785,0.523103,0.001357,0.195472,0.001018,0.097122,0.002486,0.526258,0.001445,0.449970,0.001475,0.266413,0.000699,0.078407,0.000701,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,compound_contact_scarcity,0.484694,0.039675,0.503453,0.001434,0.240288,0.002834,0.126738,0.001051,0.518446,0.001457,0.417747,0.001465,0.285113,0.002394,0.094287,0.000709,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,contact_dropout,0.544218,0.027756,0.507384,0.001306,0.232346,0.000979,0.118397,0.000808,0.518240,0.005253,0.422667,0.004808,0.284479,0.000673,0.095097,0.000675,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,narrow_support_polygon,0.549320,0.054467,0.505047,0.001395,0.219293,0.001047,0.111653,0.002952,0.526969,0.001510,0.423880,0.001547,0.278593,0.000719,0.092370,0.000721,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,nominal_contacts,0.591837,0.059098,0.520080,0.004812,0.200501,0.000989,0.099123,0.002601,0.532547,0.001413,0.439146,0.001445,0.273092,0.000679,0.084958,0.001902,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,one_hand_occupied,0.528912,0.019626,0.517070,0.001331,0.219478,0.003603,0.112296,0.000621,0.522132,0.001356,0.429614,0.001365,0.280295,0.002474,0.093667,0.000635,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,slippery_foot_contact,0.537415,0.043631,0.513159,0.001383,0.214543,0.001037,0.106615,0.001430,0.529718,0.001372,0.429679,0.004779,0.278345,0.000712,0.091391,0.000714,7,84
cbf_safety_controller,combined_stress,bimanual_shelf_reach,unexpected_push,0.545918,0.019341,0.505433,0.001306,0.225451,0.000979,0.113732,0.000957,0.524811,0.001302,0.431399,0.001302,0.281183,0.000673,0.091758,0.000675,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,compound_contact_scarcity,0.481293,0.044347,0.501176,0.001408,0.240845,0.001056,0.125844,0.001640,0.518367,0.001378,0.425109,0.001370,0.286565,0.000725,0.097229,0.002565,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,contact_dropout,0.484694,0.017427,0.505179,0.001280,0.231242,0.000960,0.118778,0.001018,0.527316,0.001271,0.425444,0.001269,0.283647,0.000659,0.093475,0.000662,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,narrow_support_polygon,0.494898,0.043162,0.507594,0.001370,0.221752,0.001027,0.112232,0.001517,0.531640,0.001349,0.429110,0.005198,0.280208,0.000705,0.093180,0.000708,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,nominal_contacts,0.564626,0.047180,0.525415,0.003829,0.203335,0.003944,0.102754,0.001386,0.532992,0.003837,0.433243,0.004818,0.274965,0.002708,0.089455,0.000604,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,one_hand_occupied,0.517007,0.041321,0.511649,0.001306,0.219391,0.000979,0.109992,0.001575,0.534988,0.001275,0.433923,0.001267,0.280162,0.000673,0.090453,0.000675,7,84
cbf_safety_controller,combined_stress,box_lift_rebalance,slippery_foot_contact,0.528912,0.042251,0.517314,0.001357,0.218208,0.001018,0.109262,0.001147,0.535894,0.001368,0.431809,0.005190,0.280787,0.000699,0.091881,0.001895,7,84
