risk_budget,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,chance_constrained_contact_mpc,0,0.648380,0.002889,0.535374,0.005207,0.133451,0.001075,0.125600,0.001125,0.585517,0.000771,0.506204,0.000815,0.287827,0.000378,0.141465,0.001708,0.079403,0.001004,0.063896,0.000351,0.159835,0.000395,0.163506,0.001285,0.147721,0.001216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,1,0.648641,0.002907,0.535801,0.005288,0.133260,0.001071,0.125725,0.001158,0.585816,0.000775,0.506507,0.000797,0.287935,0.000345,0.141363,0.001696,0.079516,0.000963,0.063857,0.000387,0.159809,0.000377,0.163573,0.001297,0.147695,0.001235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,2,0.649007,0.002885,0.536542,0.005220,0.133014,0.001068,0.125495,0.001147,0.585808,0.000754,0.506380,0.000784,0.287951,0.000361,0.141334,0.001699,0.079464,0.000969,0.063743,0.000375,0.159780,0.000385,0.163258,0.001294,0.147486,0.001230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,3,0.649090,0.002933,0.536703,0.005253,0.132823,0.001082,0.125601,0.001128,0.585536,0.000756,0.506956,0.000830,0.287920,0.000383,0.141598,0.001676,0.079247,0.000994,0.063632,0.000364,0.159923,0.000386,0.163274,0.001279,0.147482,0.001216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,4,0.648803,0.002881,0.535917,0.005222,0.133326,0.001091,0.125786,0.001152,0.585427,0.000757,0.506800,0.000813,0.287826,0.000380,0.141308,0.001674,0.079400,0.000965,0.063874,0.000365,0.159677,0.000405,0.163597,0.001289,0.147719,0.001219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,5,0.648720,0.002834,0.535828,0.005213,0.133511,0.001088,0.125732,0.001150,0.585596,0.000771,0.506544,0.000839,0.287778,0.000357,0.141259,0.001692,0.079208,0.000984,0.063714,0.000357,0.159790,0.000394,0.163498,0.001294,0.147703,0.001234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,6,0.648412,0.002917,0.535357,0.005252,0.133295,0.001045,0.125705,0.001124,0.585386,0.000757,0.506657,0.000882,0.287977,0.000357,0.141595,0.001684,0.079625,0.000963,0.063952,0.000380,0.159813,0.000403,0.163495,0.001276,0.147775,0.001206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,7,0.649010,0.002935,0.536215,0.005235,0.133073,0.001052,0.125613,0.001137,0.585487,0.000737,0.506535,0.000815,0.287873,0.000358,0.141520,0.001695,0.079608,0.000991,0.064036,0.000358,0.159907,0.000385,0.163500,0.001273,0.147654,0.001214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,8,0.648870,0.002880,0.536142,0.005218,0.133232,0.001076,0.125635,0.001161,0.585881,0.000753,0.506403,0.000847,0.287999,0.000358,0.141282,0.001707,0.079634,0.000980,0.063728,0.000367,0.159709,0.000400,0.163398,0.001286,0.147626,0.001231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,chance_constrained_contact_mpc,9,0.648552,0.002882,0.535731,0.005255,0.133104,0.001094,0.125800,0.001136,0.585420,0.000763,0.506726,0.000824,0.287877,0.000364,0.141311,0.001711,0.079677,0.001001,0.063852,0.000373,0.159627,0.000385,0.163567,0.001304,0.147680,0.001229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,0,0.786059,0.002441,0.952840,0.004172,0.048096,0.000858,0.051108,0.000859,0.707793,0.000730,0.694287,0.000793,0.184478,0.000366,0.039699,0.001690,0.024692,0.000980,0.030110,0.000350,0.080481,0.000377,0.084098,0.001104,0.053730,0.000993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,1,0.786118,0.002442,0.952887,0.004201,0.048035,0.000849,0.051065,0.000855,0.707689,0.000731,0.694119,0.000814,0.184621,0.000361,0.039685,0.001662,0.024718,0.000995,0.030036,0.000361,0.080568,0.000383,0.083985,0.001093,0.053681,0.000994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,2,0.786362,0.002440,0.952930,0.004195,0.048383,0.000870,0.051071,0.000864,0.707933,0.000678,0.694229,0.000813,0.184410,0.000355,0.040017,0.001721,0.024483,0.000956,0.030173,0.000362,0.080403,0.000376,0.084309,0.001111,0.053866,0.001006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,3,0.786361,0.002376,0.953045,0.004153,0.048041,0.000866,0.051226,0.000883,0.707930,0.000739,0.694058,0.000836,0.184519,0.000351,0.039716,0.001680,0.024692,0.000951,0.030164,0.000361,0.080382,0.000377,0.084130,0.001099,0.053772,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,4,0.786131,0.002419,0.953030,0.004197,0.048033,0.000913,0.051185,0.000861,0.708252,0.000745,0.694193,0.000833,0.184550,0.000357,0.039595,0.001692,0.024502,0.000974,0.030126,0.000358,0.080549,0.000359,0.084043,0.001134,0.053698,0.001016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,5,0.785616,0.002376,0.952043,0.004145,0.048128,0.000881,0.051352,0.000885,0.707760,0.000699,0.693859,0.000795,0.184594,0.000364,0.039790,0.001682,0.024476,0.000971,0.030166,0.000357,0.080438,0.000384,0.084214,0.001106,0.053846,0.001008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,6,0.785774,0.002419,0.952348,0.004203,0.048070,0.000898,0.051155,0.000852,0.707633,0.000735,0.694062,0.000832,0.184730,0.000360,0.039730,0.001719,0.024736,0.000982,0.030256,0.000370,0.080233,0.000360,0.084267,0.001125,0.053774,0.001014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,7,0.786117,0.002435,0.952558,0.004227,0.048134,0.000865,0.051362,0.000886,0.707722,0.000693,0.693904,0.000853,0.184594,0.000382,0.039795,0.001720,0.024398,0.000976,0.030130,0.000358,0.080392,0.000365,0.084187,0.001121,0.053838,0.001012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,8,0.785774,0.002427,0.952628,0.004186,0.048189,0.000855,0.051157,0.000872,0.707958,0.000721,0.694277,0.000821,0.184723,0.000365,0.039413,0.001719,0.024320,0.000970,0.029999,0.000372,0.080443,0.000390,0.084064,0.001097,0.053659,0.001003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,dual_price_contact_budget_controller_v5,9,0.785830,0.002427,0.952431,0.004219,0.047816,0.000892,0.051332,0.000865,0.707589,0.000721,0.694061,0.000831,0.184719,0.000373,0.039712,0.001688,0.024658,0.000960,0.030233,0.000360,0.080554,0.000370,0.084110,0.001118,0.053745,0.001012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,0,0.408931,0.004593,-0.239063,0.008240,0.396338,0.001617,0.339790,0.002012,0.363368,0.000827,0.301618,0.000919,0.184854,0.000350,0.287782,0.001696,0.292012,0.000972,0.150801,0.000371,0.028150,0.000430,0.358244,0.001742,0.396932,0.001809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,1,0.409334,0.004645,-0.238595,0.008292,0.396214,0.001599,0.339758,0.002014,0.363192,0.000836,0.301669,0.000902,0.184781,0.000376,0.287924,0.001694,0.292194,0.000984,0.150535,0.000367,0.028233,0.000445,0.358143,0.001727,0.396893,0.001809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,2,0.409120,0.004635,-0.238751,0.008281,0.396556,0.001615,0.339551,0.002020,0.363821,0.000823,0.301813,0.000874,0.185185,0.000358,0.287730,0.001709,0.292038,0.000953,0.150739,0.000384,0.028306,0.000409,0.358053,0.001735,0.396889,0.001812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,3,0.408945,0.004645,-0.239063,0.008256,0.396433,0.001594,0.339658,0.001988,0.363559,0.000824,0.301646,0.000900,0.185006,0.000356,0.287950,0.001706,0.292168,0.000969,0.150695,0.000376,0.028149,0.000430,0.358168,0.001728,0.396950,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,4,0.409289,0.004557,-0.238485,0.008181,0.396369,0.001596,0.339540,0.001977,0.363871,0.000860,0.301500,0.000901,0.184875,0.000348,0.287938,0.001696,0.292460,0.000956,0.150347,0.000373,0.028235,0.000409,0.357978,0.001725,0.396862,0.001794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,5,0.409521,0.004603,-0.238298,0.008235,0.396402,0.001620,0.339734,0.001990,0.363488,0.000836,0.301637,0.000917,0.184814,0.000353,0.287638,0.001716,0.292069,0.000971,0.150425,0.000384,0.028061,0.000430,0.358081,0.001736,0.396853,0.001808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,6,0.409334,0.004608,-0.238742,0.008237,0.396244,0.001589,0.339877,0.002024,0.363481,0.000822,0.301438,0.000898,0.185197,0.000356,0.287704,0.001696,0.292252,0.000965,0.150515,0.000368,0.028376,0.000428,0.358063,0.001720,0.396908,0.001805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,7,0.409504,0.004632,-0.238470,0.008236,0.396558,0.001590,0.339547,0.001991,0.363646,0.000839,0.301442,0.000844,0.185107,0.000365,0.287794,0.001702,0.292173,0.000970,0.150531,0.000358,0.028278,0.000446,0.358095,0.001728,0.396889,0.001793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,8,0.410022,0.004567,-0.237761,0.008199,0.396306,0.001608,0.339595,0.002004,0.363321,0.000827,0.301426,0.000880,0.184869,0.000347,0.287652,0.001691,0.291861,0.000979,0.150752,0.000374,0.028176,0.000444,0.358066,0.001725,0.396786,0.001809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,greedy_contact_planner,9,0.409275,0.004618,-0.238596,0.008267,0.396339,0.001606,0.339779,0.002012,0.363304,0.000831,0.302174,0.000889,0.184941,0.000368,0.287612,0.001702,0.292199,0.000977,0.150780,0.000381,0.028119,0.000430,0.358095,0.001747,0.396910,0.001812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,oracle_contact_scheduler,0,0.886359,0.002311,1.173432,0.003492,0.007701,0.000672,0.011882,0.000728,0.780894,0.000710,0.769078,0.000803,0.152418,0.000336,0.016134,0.001483,0.002346,0.000464,0.015527,0.000362,0.063531,0.000383,0.051312,0.000894,0.013614,0.000773,0.593750,0.049188,0.000000,0.000000,0.531410,0.044053,0.676424,0.062689,384
0.050000,oracle_contact_scheduler,1,0.885762,0.002242,1.172325,0.003488,0.008076,0.000687,0.012088,0.000749,0.781035,0.000703,0.768585,0.000781,0.152652,0.000365,0.016131,0.001471,0.002261,0.000462,0.015458,0.000371,0.063243,0.000368,0.051457,0.000898,0.013807,0.000788,0.567708,0.049614,0.000000,0.000000,0.508217,0.044439,0.643529,0.063253,384
0.050000,oracle_contact_scheduler,2,0.885942,0.002264,1.172462,0.003485,0.008194,0.000700,0.012076,0.000731,0.781069,0.000722,0.768702,0.000775,0.152482,0.000347,0.016066,0.001465,0.002212,0.000455,0.015715,0.000343,0.063548,0.000369,0.051518,0.000898,0.013858,0.000775,0.559896,0.049715,0.000000,0.000000,0.501330,0.044540,0.633504,0.063376,384
0.050000,oracle_contact_scheduler,3,0.885564,0.002170,1.172250,0.003383,0.007761,0.000661,0.012122,0.000740,0.781163,0.000731,0.768678,0.000780,0.152685,0.000348,0.016306,0.001469,0.002387,0.000471,0.015512,0.000347,0.063382,0.000368,0.051398,0.000903,0.013775,0.000775,0.588542,0.049284,0.000000,0.000000,0.526002,0.044073,0.668888,0.062733,384
0.050000,oracle_contact_scheduler,4,0.885793,0.002323,1.172740,0.003541,0.007936,0.000691,0.012077,0.000735,0.781214,0.000705,0.768763,0.000807,0.152253,0.000345,0.015828,0.001452,0.002175,0.000432,0.015564,0.000368,0.063388,0.000372,0.051343,0.000907,0.013693,0.000774,0.578125,0.049461,0.000000,0.000000,0.517236,0.044281,0.656309,0.063019,384
0.050000,oracle_contact_scheduler,5,0.885483,0.002221,1.172448,0.003437,0.007883,0.000696,0.011951,0.000747,0.781020,0.000722,0.769078,0.000803,0.152539,0.000358,0.016090,0.001472,0.002232,0.000440,0.015436,0.000360,0.063298,0.000369,0.051284,0.000904,0.013669,0.000782,0.570312,0.049578,0.000000,0.000000,0.510063,0.044365,0.646410,0.063169,384
0.050000,oracle_contact_scheduler,6,0.886393,0.002259,1.173262,0.003462,0.008086,0.000688,0.011849,0.000732,0.781168,0.000729,0.768863,0.000788,0.152433,0.000352,0.016116,0.001444,0.002335,0.000455,0.015495,0.000370,0.063434,0.000356,0.051406,0.000905,0.013721,0.000772,0.557292,0.049746,0.000000,0.000000,0.499143,0.044580,0.630571,0.063450,384
0.050000,oracle_contact_scheduler,7,0.886072,0.002325,1.172770,0.003519,0.007923,0.000678,0.012009,0.000740,0.780928,0.000713,0.768869,0.000802,0.152491,0.000345,0.016253,0.001478,0.002439,0.000480,0.015496,0.000361,0.063581,0.000367,0.051373,0.000909,0.013776,0.000783,0.567708,0.049614,0.000000,0.000000,0.508407,0.044459,0.643681,0.063268,384
0.050000,oracle_contact_scheduler,8,0.885705,0.002303,1.172351,0.003526,0.007957,0.000701,0.012066,0.000732,0.780813,0.000718,0.768779,0.000773,0.152547,0.000345,0.016077,0.001466,0.002336,0.000445,0.015620,0.000359,0.063278,0.000371,0.051541,0.000911,0.013777,0.000785,0.572917,0.049540,0.000000,0.000000,0.513107,0.044394,0.650304,0.063171,384
0.050000,oracle_contact_scheduler,9,0.886703,0.002225,1.173653,0.003473,0.007893,0.000685,0.011906,0.000745,0.781461,0.000695,0.768603,0.000812,0.152497,0.000350,0.016085,0.001484,0.002320,0.000460,0.015566,0.000368,0.063464,0.000383,0.051387,0.000914,0.013680,0.000790,0.580729,0.049419,0.000000,0.000000,0.519945,0.044271,0.660165,0.063008,384
0.050000,proposed_contact_budget_controller_v4_1,0,0.723928,0.002598,0.767645,0.004596,0.092483,0.000957,0.087402,0.000965,0.645662,0.000746,0.629958,0.000822,0.214896,0.000381,0.079317,0.001696,0.055243,0.000967,0.049754,0.000380,0.087546,0.000395,0.115668,0.001148,0.099197,0.001090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,1,0.724179,0.002578,0.767804,0.004560,0.092438,0.000943,0.087542,0.000983,0.645663,0.000751,0.629970,0.000861,0.214921,0.000340,0.079503,0.001695,0.055147,0.000973,0.049547,0.000365,0.087583,0.000367,0.115769,0.001170,0.099241,0.001092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,2,0.724229,0.002578,0.767787,0.004603,0.092457,0.000959,0.087698,0.000979,0.645320,0.000750,0.630284,0.000819,0.214755,0.000351,0.079191,0.001720,0.055277,0.000978,0.049744,0.000376,0.087559,0.000378,0.115782,0.001179,0.099288,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,3,0.724437,0.002651,0.768236,0.004673,0.092162,0.000957,0.087413,0.000977,0.645416,0.000778,0.630302,0.000829,0.215021,0.000338,0.079508,0.001673,0.055477,0.000957,0.049715,0.000356,0.087670,0.000369,0.115697,0.001180,0.099158,0.001095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,4,0.724608,0.002615,0.768338,0.004665,0.092389,0.000974,0.087608,0.000977,0.645859,0.000744,0.630235,0.000820,0.214698,0.000368,0.079369,0.001682,0.055316,0.000986,0.049735,0.000368,0.087736,0.000391,0.115755,0.001181,0.099270,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,5,0.724172,0.002602,0.767878,0.004648,0.092375,0.001000,0.087430,0.000973,0.645244,0.000756,0.630180,0.000831,0.215082,0.000362,0.079268,0.001718,0.055204,0.000981,0.049689,0.000366,0.087576,0.000383,0.115703,0.001180,0.099148,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,6,0.723950,0.002544,0.767375,0.004575,0.092645,0.000952,0.087568,0.000977,0.645516,0.000738,0.630308,0.000852,0.214881,0.000375,0.079347,0.001709,0.055621,0.000961,0.049676,0.000366,0.087774,0.000377,0.115715,0.001173,0.099364,0.001101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,7,0.724501,0.002611,0.768138,0.004663,0.092413,0.000980,0.087404,0.000976,0.645329,0.000760,0.629892,0.000846,0.214988,0.000380,0.079299,0.001698,0.055368,0.000959,0.049644,0.000354,0.087734,0.000392,0.115611,0.001179,0.099170,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,8,0.724523,0.002594,0.768549,0.004619,0.091951,0.000966,0.087502,0.000983,0.645663,0.000744,0.629918,0.000838,0.214758,0.000354,0.079290,0.001708,0.055420,0.000994,0.049719,0.000350,0.087422,0.000383,0.115499,0.001176,0.099069,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
0.050000,proposed_contact_budget_controller_v4_1,9,0.724329,0.002612,0.768324,0.004665,0.092282,0.000999,0.087380,0.000973,0.645580,0.000752,0.630166,0.000821,0.214865,0.000357,0.079138,0.001679,0.055178,0.000973,0.049676,0.000371,0.087657,0.000374,0.115561,0.001172,0.099062,0.001104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,384
