method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,0,0.562706,0.003186,0.336266,0.005780,0.177930,0.001164,0.160911,0.001269,0.533503,0.000794,0.426021,0.000850,0.275724,0.000355,0.187859,0.001693,0.116290,0.000973,0.083491,0.000356,0.134542,0.000407,0.196987,0.001350,0.195051,0.001316,384
cbf_safety_controller,1,0.563102,0.003087,0.336507,0.005623,0.178208,0.001159,0.160797,0.001262,0.533512,0.000727,0.426196,0.000823,0.276015,0.000374,0.187882,0.001679,0.116269,0.000965,0.083495,0.000374,0.134715,0.000389,0.196891,0.001340,0.195101,0.001302,384
cbf_safety_controller,2,0.563071,0.003112,0.336669,0.005671,0.177926,0.001151,0.160652,0.001255,0.533234,0.000746,0.425988,0.000858,0.275639,0.000373,0.188221,0.001702,0.116238,0.000970,0.083516,0.000357,0.134569,0.000395,0.196902,0.001344,0.195018,0.001304,384
cbf_safety_controller,3,0.562607,0.003076,0.335956,0.005646,0.177961,0.001157,0.160963,0.001258,0.533323,0.000745,0.425967,0.000828,0.275625,0.000372,0.187989,0.001693,0.116426,0.000988,0.083642,0.000385,0.134673,0.000411,0.197086,0.001344,0.195150,0.001311,384
cbf_safety_controller,4,0.562987,0.003164,0.336461,0.005740,0.177867,0.001133,0.160866,0.001261,0.533217,0.000757,0.425973,0.000814,0.275712,0.000370,0.187963,0.001703,0.116498,0.000976,0.083509,0.000372,0.134645,0.000395,0.196893,0.001355,0.195061,0.001312,384
cbf_safety_controller,5,0.562304,0.003068,0.335091,0.005605,0.178395,0.001126,0.161105,0.001261,0.533078,0.000777,0.426065,0.000845,0.275768,0.000369,0.188091,0.001701,0.116347,0.000963,0.083811,0.000367,0.134790,0.000398,0.197257,0.001330,0.195394,0.001300,384
cbf_safety_controller,6,0.563295,0.003039,0.336554,0.005606,0.178114,0.001152,0.160822,0.001253,0.533396,0.000788,0.425787,0.000862,0.275812,0.000358,0.188143,0.001706,0.116394,0.000967,0.083573,0.000355,0.134600,0.000398,0.197057,0.001337,0.195163,0.001304,384
cbf_safety_controller,7,0.562269,0.003047,0.335447,0.005623,0.178336,0.001130,0.160870,0.001261,0.533064,0.000804,0.426329,0.000854,0.275849,0.000362,0.188041,0.001707,0.116295,0.000967,0.083448,0.000381,0.134590,0.000412,0.197143,0.001349,0.195207,0.001309,384
cbf_safety_controller,8,0.563222,0.003080,0.336414,0.005642,0.178520,0.001160,0.160897,0.001249,0.533450,0.000773,0.425982,0.000824,0.275489,0.000367,0.187856,0.001692,0.116134,0.000994,0.083622,0.000380,0.134675,0.000395,0.197150,0.001342,0.195245,0.001309,384
cbf_safety_controller,9,0.562930,0.003112,0.336267,0.005661,0.177961,0.001165,0.160956,0.001259,0.533068,0.000810,0.425979,0.000818,0.275721,0.000344,0.187963,0.001676,0.116217,0.000977,0.083559,0.000379,0.134719,0.000397,0.196978,0.001348,0.195105,0.001313,384
chance_constrained_contact_mpc,0,0.649167,0.002850,0.536333,0.005208,0.133045,0.001079,0.125689,0.001139,0.585499,0.000745,0.506531,0.000807,0.287862,0.000373,0.141494,0.001683,0.079804,0.000972,0.063954,0.000368,0.159776,0.000404,0.163487,0.001297,0.147683,0.001228,384
chance_constrained_contact_mpc,1,0.648771,0.002925,0.536033,0.005264,0.133073,0.001084,0.125550,0.001151,0.585478,0.000771,0.506410,0.000840,0.287956,0.000360,0.141465,0.001662,0.079546,0.000975,0.063989,0.000366,0.159732,0.000398,0.163427,0.001277,0.147602,0.001219,384
chance_constrained_contact_mpc,2,0.648730,0.002907,0.535874,0.005255,0.133354,0.001066,0.125771,0.001154,0.585848,0.000748,0.506737,0.000830,0.287868,0.000340,0.141334,0.001687,0.079439,0.000964,0.063923,0.000350,0.159806,0.000389,0.163669,0.001288,0.147740,0.001218,384
chance_constrained_contact_mpc,3,0.648735,0.002853,0.535805,0.005197,0.133295,0.001081,0.125684,0.001137,0.585460,0.000755,0.506548,0.000867,0.287997,0.000352,0.141337,0.001733,0.079546,0.000945,0.063903,0.000349,0.159824,0.000396,0.163477,0.001292,0.147694,0.001226,384
chance_constrained_contact_mpc,4,0.648599,0.002894,0.535504,0.005247,0.133232,0.001096,0.125829,0.001154,0.585481,0.000725,0.506419,0.000843,0.288163,0.000357,0.141363,0.001702,0.079517,0.000979,0.063936,0.000366,0.159974,0.000393,0.163534,0.001295,0.147740,0.001234,384
chance_constrained_contact_mpc,5,0.648594,0.002891,0.535615,0.005251,0.133417,0.001075,0.125689,0.001157,0.585565,0.000753,0.506609,0.000817,0.288160,0.000364,0.141256,0.001688,0.079442,0.001000,0.063884,0.000368,0.159937,0.000376,0.163519,0.001298,0.147704,0.001229,384
chance_constrained_contact_mpc,6,0.649079,0.002915,0.536358,0.005278,0.133323,0.001108,0.125596,0.001145,0.585572,0.000759,0.506535,0.000838,0.287879,0.000376,0.141334,0.001711,0.079205,0.000978,0.063830,0.000350,0.159615,0.000394,0.163387,0.001291,0.147614,0.001231,384
chance_constrained_contact_mpc,7,0.648959,0.002875,0.536172,0.005238,0.133295,0.001092,0.125681,0.001140,0.585569,0.000732,0.506867,0.000803,0.287772,0.000351,0.141363,0.001702,0.079650,0.000995,0.063849,0.000361,0.159764,0.000387,0.163518,0.001291,0.147703,0.001234,384
chance_constrained_contact_mpc,8,0.649282,0.002877,0.536541,0.005218,0.133042,0.001065,0.125697,0.001134,0.585462,0.000757,0.506502,0.000809,0.287879,0.000355,0.141699,0.001701,0.079179,0.000979,0.063648,0.000373,0.159792,0.000383,0.163459,0.001280,0.147613,0.001217,384
chance_constrained_contact_mpc,9,0.648886,0.002784,0.536288,0.005135,0.133107,0.001064,0.125638,0.001120,0.585688,0.000745,0.506623,0.000841,0.287996,0.000344,0.141155,0.001694,0.079494,0.000985,0.063844,0.000369,0.159784,0.000396,0.163371,0.001283,0.147556,0.001215,384
dual_price_contact_budget_controller_v5,0,0.785980,0.002460,0.952315,0.004250,0.048287,0.000890,0.051470,0.000877,0.708018,0.000748,0.693782,0.000789,0.184400,0.000368,0.039578,0.001666,0.024562,0.000997,0.030370,0.000359,0.080374,0.000392,0.084325,0.001119,0.053941,0.001008,384
dual_price_contact_budget_controller_v5,1,0.786605,0.002427,0.953252,0.004220,0.048068,0.000877,0.051214,0.000876,0.707700,0.000752,0.693875,0.000796,0.184666,0.000378,0.039552,0.001708,0.024444,0.000977,0.030181,0.000365,0.080376,0.000360,0.084076,0.001119,0.053713,0.001010,384
dual_price_contact_budget_controller_v5,2,0.786675,0.002467,0.953483,0.004218,0.047943,0.000890,0.051136,0.000841,0.707796,0.000730,0.694182,0.000819,0.184667,0.000349,0.039812,0.001678,0.024463,0.000988,0.030091,0.000364,0.080429,0.000377,0.084099,0.001099,0.053684,0.000999,384
dual_price_contact_budget_controller_v5,3,0.786040,0.002467,0.952602,0.004240,0.048287,0.000901,0.051176,0.000894,0.708200,0.000735,0.694126,0.000791,0.184709,0.000361,0.039968,0.001703,0.024475,0.000992,0.030077,0.000348,0.080281,0.000379,0.084205,0.001115,0.053852,0.001021,384
dual_price_contact_budget_controller_v5,4,0.786032,0.002482,0.952848,0.004238,0.047912,0.000876,0.051132,0.000891,0.707914,0.000730,0.693636,0.000838,0.184564,0.000373,0.039552,0.001683,0.024510,0.000972,0.030288,0.000366,0.080336,0.000361,0.084042,0.001124,0.053648,0.001017,384
dual_price_contact_budget_controller_v5,5,0.786611,0.002402,0.953084,0.004169,0.048162,0.000891,0.051335,0.000874,0.707869,0.000719,0.693928,0.000806,0.184570,0.000349,0.039760,0.001707,0.024652,0.000969,0.029987,0.000344,0.080522,0.000394,0.084202,0.001115,0.053840,0.001012,384
dual_price_contact_budget_controller_v5,6,0.786785,0.002439,0.953346,0.004209,0.048162,0.000885,0.051320,0.000882,0.707591,0.000726,0.694173,0.000788,0.184550,0.000364,0.039526,0.001684,0.024671,0.000958,0.030033,0.000360,0.080371,0.000390,0.084153,0.001112,0.053790,0.001006,384
dual_price_contact_budget_controller_v5,7,0.786847,0.002419,0.953469,0.004226,0.048068,0.000879,0.051287,0.000875,0.708015,0.000708,0.693704,0.000831,0.184493,0.000370,0.039838,0.001729,0.024293,0.000968,0.030002,0.000362,0.080552,0.000367,0.084054,0.001114,0.053764,0.001010,384
dual_price_contact_budget_controller_v5,8,0.786095,0.002442,0.952640,0.004216,0.048037,0.000895,0.051335,0.000854,0.707819,0.000750,0.694004,0.000811,0.184772,0.000369,0.039734,0.001674,0.024484,0.000991,0.030097,0.000371,0.080353,0.000365,0.084274,0.001114,0.053787,0.001005,384
dual_price_contact_budget_controller_v5,9,0.786376,0.002451,0.952928,0.004205,0.048037,0.000859,0.051127,0.000865,0.707526,0.000733,0.693643,0.000815,0.184509,0.000350,0.039838,0.001658,0.024705,0.000972,0.030156,0.000375,0.080199,0.000377,0.084141,0.001095,0.053757,0.000996,384
fixed_contact_quota,0,0.484685,0.004024,0.054928,0.007175,0.277193,0.001306,0.265779,0.001715,0.431572,0.000817,0.368751,0.000867,0.195532,0.000373,0.229126,0.001707,0.184915,0.000988,0.117706,0.000371,0.078549,0.000417,0.272126,0.001532,0.294949,0.001576,384
fixed_contact_quota,1,0.484911,0.004053,0.054646,0.007210,0.277554,0.001332,0.265972,0.001721,0.431496,0.000790,0.368399,0.000862,0.195579,0.000338,0.228880,0.001704,0.185063,0.000956,0.117840,0.000381,0.078780,0.000422,0.272240,0.001538,0.295135,0.001581,384
