method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
fixed_contact_quota,2,0.484642,0.004023,0.054505,0.007195,0.277523,0.001329,0.266067,0.001734,0.431186,0.000792,0.368724,0.000852,0.195312,0.000353,0.228854,0.001703,0.184879,0.000952,0.117535,0.000371,0.078722,0.000424,0.272140,0.001543,0.295094,0.001584,384
fixed_contact_quota,3,0.484639,0.003995,0.054319,0.007178,0.277724,0.001337,0.266004,0.001713,0.431575,0.000821,0.368418,0.000887,0.195379,0.000356,0.229022,0.001684,0.184975,0.000969,0.117671,0.000367,0.078631,0.000407,0.272396,0.001542,0.295204,0.001580,384
fixed_contact_quota,4,0.485542,0.004074,0.055514,0.007253,0.277474,0.001325,0.265739,0.001738,0.431348,0.000839,0.368517,0.000861,0.195374,0.000343,0.229126,0.001703,0.185149,0.000976,0.117641,0.000380,0.078672,0.000427,0.272224,0.001540,0.295047,0.001587,384
fixed_contact_quota,5,0.485201,0.004025,0.055410,0.007156,0.277398,0.001325,0.265833,0.001698,0.431732,0.000826,0.368861,0.000865,0.195510,0.000353,0.228906,0.001669,0.184880,0.000967,0.117725,0.000374,0.078499,0.000401,0.272106,0.001520,0.294992,0.001564,384
fixed_contact_quota,6,0.485270,0.004015,0.055263,0.007194,0.277492,0.001332,0.265927,0.001722,0.431491,0.000825,0.368680,0.000861,0.195568,0.000372,0.228828,0.001706,0.185009,0.000974,0.117537,0.000368,0.078560,0.000422,0.272217,0.001540,0.295035,0.001584,384
fixed_contact_quota,7,0.485215,0.003972,0.054916,0.007132,0.277505,0.001321,0.266030,0.001740,0.431469,0.000809,0.368601,0.000851,0.195670,0.000367,0.229178,0.001691,0.184975,0.000967,0.117630,0.000358,0.078671,0.000421,0.272257,0.001545,0.295169,0.001579,384
fixed_contact_quota,8,0.485774,0.003953,0.055672,0.007129,0.277523,0.001339,0.265899,0.001738,0.431442,0.000807,0.368518,0.000888,0.195415,0.000371,0.229010,0.001691,0.185123,0.000983,0.117549,0.000348,0.078520,0.000414,0.272162,0.001543,0.295089,0.001588,384
fixed_contact_quota,9,0.485026,0.003982,0.054771,0.007170,0.277662,0.001352,0.265969,0.001713,0.431274,0.000809,0.368792,0.000890,0.195332,0.000361,0.229126,0.001703,0.185141,0.000967,0.117513,0.000366,0.078558,0.000414,0.272303,0.001542,0.295188,0.001584,384
greedy_contact_planner,0,0.409437,0.004633,-0.238402,0.008295,0.396439,0.001577,0.339723,0.002028,0.363877,0.000851,0.302064,0.000910,0.185126,0.000362,0.287742,0.001711,0.292060,0.000974,0.150684,0.000378,0.028264,0.000443,0.358106,0.001738,0.396919,0.001811,384
greedy_contact_planner,1,0.409538,0.004626,-0.238191,0.008254,0.396363,0.001602,0.339678,0.002018,0.363791,0.000820,0.301622,0.000872,0.184889,0.000352,0.287808,0.001694,0.291864,0.000984,0.150468,0.000375,0.028098,0.000435,0.358074,0.001723,0.396835,0.001804,384
greedy_contact_planner,2,0.409143,0.004569,-0.239361,0.008198,0.396894,0.001610,0.340023,0.002010,0.363509,0.000825,0.301940,0.000886,0.185003,0.000367,0.287678,0.001683,0.292086,0.000925,0.150748,0.000389,0.028509,0.000432,0.358322,0.001728,0.397198,0.001806,384
greedy_contact_planner,3,0.409990,0.004631,-0.238196,0.008271,0.396720,0.001598,0.339814,0.002024,0.363695,0.000801,0.301580,0.000898,0.184810,0.000385,0.287768,0.001679,0.291968,0.000992,0.150805,0.000359,0.028122,0.000435,0.358324,0.001738,0.397065,0.001807,384
greedy_contact_planner,4,0.410054,0.004649,-0.237743,0.008271,0.396252,0.001597,0.339623,0.002005,0.363673,0.000834,0.301612,0.000892,0.185165,0.000370,0.287872,0.001684,0.291982,0.001001,0.150577,0.000391,0.028321,0.000440,0.358046,0.001733,0.396818,0.001800,384
greedy_contact_planner,5,0.410468,0.004635,-0.237494,0.008292,0.396425,0.001616,0.339683,0.002030,0.363570,0.000845,0.301583,0.000906,0.184989,0.000368,0.287756,0.001680,0.292281,0.000960,0.150575,0.000374,0.028219,0.000437,0.358088,0.001744,0.396912,0.001814,384
greedy_contact_planner,6,0.409187,0.004535,-0.238935,0.008155,0.396363,0.001586,0.339739,0.002006,0.363331,0.000818,0.301186,0.000864,0.185048,0.000368,0.287678,0.001705,0.292165,0.000991,0.150779,0.000376,0.028271,0.000441,0.358119,0.001725,0.396912,0.001805,384
greedy_contact_planner,7,0.409602,0.004638,-0.238017,0.008290,0.396252,0.001606,0.339640,0.002019,0.363542,0.000857,0.301854,0.000878,0.184712,0.000372,0.287637,0.001700,0.292125,0.000976,0.150683,0.000360,0.028077,0.000438,0.357991,0.001731,0.396805,0.001813,384
greedy_contact_planner,8,0.408864,0.004597,-0.238964,0.008197,0.396425,0.001568,0.339712,0.001978,0.363769,0.000852,0.301727,0.000862,0.184946,0.000365,0.287756,0.001703,0.292243,0.000971,0.150399,0.000374,0.027951,0.000426,0.358154,0.001724,0.396895,0.001790,384
greedy_contact_planner,9,0.409366,0.004598,-0.238628,0.008184,0.396470,0.001578,0.339638,0.001996,0.363463,0.000821,0.301559,0.000857,0.185111,0.000361,0.287663,0.001670,0.292203,0.000981,0.150651,0.000382,0.028303,0.000421,0.358107,0.001724,0.396889,0.001789,384
learned_residual_contact_policy,0,0.588424,0.003578,0.286196,0.006563,0.234824,0.001330,0.221952,0.001547,0.489678,0.000800,0.479663,0.000855,0.222528,0.000367,0.170658,0.001687,0.159243,0.000964,0.109080,0.000378,0.046983,0.000416,0.226666,0.001496,0.244985,0.001508,384
learned_residual_contact_policy,1,0.588768,0.003610,0.287196,0.006563,0.234257,0.001302,0.221753,0.001543,0.489736,0.000793,0.479593,0.000832,0.222567,0.000373,0.170421,0.001663,0.159156,0.000971,0.109049,0.000353,0.047010,0.000417,0.226344,0.001477,0.244642,0.001486,384
learned_residual_contact_policy,2,0.588617,0.003542,0.286570,0.006545,0.234789,0.001339,0.221866,0.001562,0.489839,0.000819,0.479665,0.000848,0.222576,0.000361,0.170707,0.001714,0.158873,0.000999,0.109059,0.000361,0.047014,0.000407,0.226675,0.001514,0.244900,0.001516,384
learned_residual_contact_policy,3,0.588904,0.003585,0.286943,0.006538,0.234355,0.001315,0.222020,0.001548,0.489790,0.000800,0.479583,0.000841,0.222662,0.000343,0.170684,0.001691,0.158942,0.000963,0.109124,0.000359,0.047244,0.000397,0.226375,0.001495,0.244830,0.001496,384
learned_residual_contact_policy,4,0.588825,0.003596,0.287060,0.006542,0.234198,0.001313,0.221873,0.001538,0.489776,0.000756,0.479736,0.000837,0.222634,0.000351,0.170815,0.001699,0.159269,0.000957,0.109071,0.000393,0.046899,0.000412,0.226477,0.001491,0.244775,0.001492,384
learned_residual_contact_policy,5,0.588825,0.003541,0.286908,0.006502,0.234351,0.001309,0.221881,0.001543,0.489686,0.000795,0.479701,0.000868,0.222757,0.000359,0.170786,0.001677,0.159234,0.000980,0.108965,0.000355,0.047118,0.000392,0.226528,0.001489,0.244805,0.001492,384
learned_residual_contact_policy,6,0.588961,0.003559,0.287192,0.006531,0.234476,0.001324,0.221768,0.001552,0.490003,0.000773,0.479664,0.000853,0.222760,0.000364,0.170525,0.001714,0.159290,0.000967,0.109014,0.000368,0.047060,0.000410,0.226427,0.001509,0.244757,0.001507,384
learned_residual_contact_policy,7,0.588675,0.003590,0.286469,0.006560,0.234542,0.001324,0.222178,0.001552,0.489843,0.000783,0.479481,0.000834,0.222651,0.000382,0.170606,0.001699,0.159177,0.000958,0.108963,0.000373,0.047177,0.000411,0.226650,0.001488,0.244948,0.001500,384
learned_residual_contact_policy,8,0.588653,0.003546,0.286629,0.006523,0.234632,0.001323,0.221904,0.001545,0.489906,0.000802,0.479914,0.000864,0.222606,0.000367,0.170838,0.001704,0.159086,0.000979,0.109176,0.000359,0.047050,0.000408,0.226604,0.001503,0.244934,0.001506,384
learned_residual_contact_policy,9,0.588653,0.003503,0.286585,0.006431,0.234542,0.001324,0.221866,0.001531,0.489317,0.000806,0.479429,0.000848,0.222605,0.000350,0.170606,0.001686,0.159078,0.000971,0.109100,0.000374,0.046958,0.000407,0.226526,0.001491,0.244824,0.001486,384
no_budget_planner,0,0.319813,0.003744,-0.291528,0.006868,0.364095,0.001439,0.291592,0.001571,0.307458,0.000814,0.240227,0.000889,0.152407,0.000349,0.323274,0.001696,0.268705,0.000967,0.144615,0.000361,0.030604,0.000425,0.323415,0.001449,0.369872,0.001551,384
no_budget_planner,1,0.320200,0.003706,-0.291066,0.006899,0.364237,0.001485,0.291464,0.001585,0.307625,0.000814,0.240002,0.000845,0.152303,0.000369,0.323184,0.001705,0.268716,0.000968,0.144460,0.000372,0.030758,0.000418,0.323422,0.001480,0.369826,0.001579,384
no_budget_planner,2,0.319734,0.003718,-0.291387,0.006831,0.364081,0.001465,0.291535,0.001565,0.307988,0.000781,0.240306,0.000810,0.152261,0.000373,0.323366,0.001657,0.268721,0.000961,0.144552,0.000373,0.030551,0.000401,0.323577,0.001465,0.369857,0.001556,384
no_budget_planner,3,0.320236,0.003673,-0.290767,0.006884,0.364001,0.001505,0.291413,0.001585,0.308016,0.000838,0.240018,0.000845,0.152421,0.000379,0.323300,0.001691,0.268550,0.000985,0.144595,0.000377,0.030410,0.000418,0.323407,0.001481,0.369749,0.001588,384
no_budget_planner,4,0.320028,0.003775,-0.291041,0.006938,0.364063,0.001474,0.291466,0.001584,0.307616,0.000834,0.240685,0.000846,0.152461,0.000364,0.323378,0.001694,0.268497,0.000979,0.144551,0.000366,0.030562,0.000410,0.323424,0.001478,0.369797,0.001570,384
no_budget_planner,5,0.319755,0.003740,-0.291612,0.006888,0.364237,0.001487,0.291458,0.001574,0.307115,0.000779,0.240607,0.000857,0.152371,0.000352,0.323314,0.001725,0.268846,0.000985,0.144654,0.000389,0.030550,0.000407,0.323522,0.001485,0.369895,0.001576,384
no_budget_planner,6,0.320293,0.003812,-0.290821,0.006970,0.364237,0.001482,0.291456,0.001574,0.307807,0.000820,0.240197,0.000875,0.152242,0.000350,0.323054,0.001678,0.268747,0.000967,0.144522,0.000372,0.030573,0.000413,0.323329,0.001478,0.369807,0.001570,384
no_budget_planner,7,0.319504,0.003695,-0.291810,0.006878,0.364126,0.001467,0.291634,0.001601,0.307445,0.000799,0.240333,0.000848,0.152177,0.000357,0.323143,0.001701,0.268706,0.000999,0.144769,0.000352,0.030721,0.000417,0.323478,0.001477,0.369893,0.001581,384
no_budget_planner,8,0.319927,0.003709,-0.290827,0.006837,0.364081,0.001464,0.291195,0.001565,0.307712,0.000800,0.240528,0.000822,0.152117,0.000364,0.323314,0.001690,0.268757,0.000983,0.144368,0.000377,0.030364,0.000400,0.323350,0.001464,0.369681,0.001562,384
no_budget_planner,9,0.320544,0.003676,-0.290507,0.006819,0.364282,0.001483,0.291262,0.001553,0.307715,0.000771,0.240249,0.000869,0.152175,0.000361,0.323378,0.001703,0.268638,0.000956,0.144491,0.000371,0.030348,0.000403,0.323411,0.001476,0.369795,0.001563,384
oracle_contact_scheduler,0,0.885533,0.002291,1.172229,0.003506,0.008055,0.000695,0.011953,0.000743,0.780932,0.000690,0.768983,0.000830,0.152398,0.000331,0.016292,0.001460,0.002291,0.000453,0.015597,0.000350,0.063572,0.000374,0.051371,0.000893,0.013802,0.000773,384
oracle_contact_scheduler,1,0.885937,0.002238,1.172980,0.003461,0.007857,0.000676,0.011987,0.000745,0.780993,0.000741,0.769083,0.000824,0.152315,0.000354,0.015893,0.001449,0.002318,0.000465,0.015505,0.000378,0.063324,0.000353,0.051251,0.000899,0.013651,0.000775,384
oracle_contact_scheduler,2,0.886421,0.002274,1.173236,0.003500,0.007917,0.000682,0.012065,0.000729,0.781394,0.000713,0.768661,0.000770,0.152387,0.000332,0.016046,0.001459,0.002308,0.000443,0.015713,0.000352,0.063431,0.000372,0.051351,0.000895,0.013766,0.000770,384
oracle_contact_scheduler,3,0.885851,0.002241,1.172721,0.003435,0.007844,0.000672,0.012025,0.000735,0.780947,0.000679,0.768822,0.000771,0.152431,0.000339,0.016039,0.001448,0.002357,0.000468,0.015464,0.000353,0.063336,0.000374,0.051373,0.000889,0.013694,0.000766,384
oracle_contact_scheduler,4,0.885535,0.002269,1.172598,0.003449,0.007762,0.000678,0.012018,0.000720,0.781081,0.000702,0.768878,0.000764,0.152435,0.000331,0.015823,0.001440,0.002179,0.000443,0.015594,0.000354,0.063335,0.000355,0.051233,0.000875,0.013612,0.000754,384
oracle_contact_scheduler,5,0.885131,0.002246,1.172004,0.003445,0.007965,0.000690,0.012033,0.000731,0.781168,0.000723,0.769008,0.000809,0.152395,0.000337,0.016078,0.001449,0.002212,0.000427,0.015520,0.000352,0.063491,0.000350,0.051379,0.000891,0.013737,0.000771,384
oracle_contact_scheduler,6,0.885679,0.002272,1.172574,0.003467,0.007769,0.000687,0.011971,0.000733,0.780932,0.000720,0.768754,0.000797,0.152428,0.000345,0.016107,0.001462,0.002290,0.000460,0.015628,0.000363,0.063432,0.000354,0.051323,0.000897,0.013675,0.000767,384
oracle_contact_scheduler,7,0.885275,0.002290,1.171906,0.003464,0.007920,0.000685,0.012157,0.000741,0.780860,0.000719,0.769129,0.000757,0.152721,0.000338,0.016117,0.001467,0.002319,0.000463,0.015550,0.000356,0.063461,0.000364,0.051427,0.000893,0.013800,0.000764,384
oracle_contact_scheduler,8,0.885819,0.002331,1.172736,0.003508,0.007892,0.000687,0.012031,0.000738,0.780821,0.000690,0.768797,0.000785,0.152333,0.000344,0.015890,0.001458,0.002230,0.000446,0.015417,0.000367,0.063273,0.000362,0.051373,0.000901,0.013658,0.000781,384
oracle_contact_scheduler,9,0.885535,0.002251,1.172140,0.003478,0.007842,0.000685,0.012153,0.000739,0.780979,0.000724,0.768835,0.000828,0.152630,0.000350,0.016259,0.001465,0.002370,0.000473,0.015578,0.000358,0.063517,0.000373,0.051475,0.000888,0.013813,0.000782,384
proposed_contact_budget_controller_v4_1,0,0.724140,0.002626,0.767536,0.004658,0.092441,0.000946,0.087726,0.000987,0.645760,0.000733,0.629653,0.000820,0.214873,0.000351,0.079459,0.001686,0.055197,0.000960,0.049676,0.000360,0.087833,0.000401,0.115811,0.001172,0.099334,0.001099,384
proposed_contact_budget_controller_v4_1,1,0.724318,0.002619,0.768496,0.004637,0.092142,0.000968,0.087505,0.000988,0.646013,0.000743,0.630214,0.000819,0.214641,0.000358,0.079236,0.001685,0.055123,0.000977,0.049548,0.000374,0.087518,0.000365,0.115436,0.001185,0.099064,0.001107,384
proposed_contact_budget_controller_v4_1,2,0.724355,0.002616,0.768083,0.004613,0.092330,0.000958,0.087518,0.000991,0.645593,0.000740,0.630259,0.000794,0.214903,0.000367,0.079496,0.001673,0.055150,0.000964,0.049727,0.000361,0.087653,0.000387,0.115690,0.001175,0.099219,0.001095,384
proposed_contact_budget_controller_v4_1,3,0.724189,0.002599,0.768061,0.004633,0.092316,0.000982,0.087481,0.000989,0.645565,0.000708,0.630360,0.000832,0.214930,0.000357,0.079146,0.001677,0.055284,0.000982,0.049748,0.000363,0.087639,0.000384,0.115611,0.001178,0.099140,0.001109,384
proposed_contact_budget_controller_v4_1,4,0.723974,0.002569,0.767786,0.004589,0.092316,0.000962,0.087378,0.000987,0.645211,0.000727,0.630382,0.000818,0.214964,0.000363,0.079276,0.001695,0.055379,0.000950,0.049716,0.000360,0.087600,0.000383,0.115588,0.001168,0.099133,0.001093,384
proposed_contact_budget_controller_v4_1,5,0.724083,0.002527,0.767780,0.004553,0.092517,0.000976,0.087350,0.000983,0.645395,0.000767,0.630111,0.000799,0.214878,0.000358,0.079340,0.001698,0.055305,0.000960,0.049713,0.000368,0.087561,0.000388,0.115598,0.001160,0.099194,0.001102,384
proposed_contact_budget_controller_v4_1,6,0.723960,0.002623,0.767832,0.004701,0.092267,0.000964,0.087454,0.001020,0.645746,0.000746,0.630317,0.000839,0.214870,0.000374,0.079392,0.001699,0.055358,0.000969,0.049786,0.000363,0.087572,0.000394,0.115641,0.001190,0.099181,0.001120,384
proposed_contact_budget_controller_v4_1,7,0.723381,0.002680,0.767184,0.004693,0.092159,0.000959,0.087436,0.000984,0.645246,0.000743,0.630185,0.000804,0.214771,0.000359,0.079380,0.001710,0.055492,0.000971,0.049759,0.000376,0.087806,0.000381,0.115586,0.001186,0.099146,0.001106,384
proposed_contact_budget_controller_v4_1,8,0.724427,0.002688,0.768303,0.004725,0.092517,0.000958,0.087211,0.000966,0.645402,0.000752,0.630367,0.000840,0.214986,0.000358,0.079183,0.001699,0.055405,0.000981,0.049724,0.000371,0.087552,0.000365,0.115581,0.001180,0.099115,0.001100,384
proposed_contact_budget_controller_v4_1,9,0.724719,0.002639,0.768450,0.004669,0.092753,0.000962,0.087303,0.000972,0.645538,0.000760,0.630570,0.000819,0.214921,0.000354,0.079172,0.001687,0.055357,0.000979,0.049721,0.000359,0.087708,0.000386,0.115764,0.001181,0.099225,0.001107,384
recovery_reserve_controller,0,0.675504,0.002801,0.630727,0.005084,0.126008,0.001057,0.114427,0.001107,0.600055,0.000756,0.587879,0.000841,0.232432,0.000355,0.096078,0.001699,0.084613,0.000980,0.065542,0.000365,0.121564,0.000400,0.144978,0.001254,0.131368,0.001198,384
