risk_budget,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,chance_constrained_contact_mpc,0.648748,0.000914,0.535961,0.001654,0.133209,0.000339,0.125669,0.000361,0.585588,0.000240,0.506571,0.000261,0.287896,0.000115,0.141404,0.000535,0.079478,0.000310,0.063828,0.000116,0.159787,0.000124,0.163467,0.000407,0.147654,0.000386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.050000,dual_price_contact_budget_controller_v5,0.786014,0.000765,0.952674,0.001323,0.048093,0.000276,0.051201,0.000274,0.707826,0.000227,0.694105,0.000260,0.184594,0.000115,0.039715,0.000536,0.024567,0.000307,0.030139,0.000114,0.080444,0.000118,0.084141,0.000351,0.053761,0.000318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.050000,greedy_contact_planner,0.409328,0.001456,-0.238582,0.002603,0.396376,0.000506,0.339683,0.000633,0.363505,0.000263,0.301636,0.000282,0.184963,0.000113,0.287772,0.000537,0.292143,0.000306,0.150612,0.000118,0.028208,0.000136,0.358099,0.000547,0.396887,0.000570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.050000,oracle_contact_scheduler,0.885978,0.000715,1.172769,0.001100,0.007941,0.000217,0.012003,0.000233,0.781076,0.000226,0.768800,0.000250,0.152500,0.000110,0.016109,0.000464,0.002304,0.000144,0.015539,0.000114,0.063415,0.000117,0.051402,0.000286,0.013737,0.000246,0.573698,0.015644,0.000000,0.000000,0.513486,0.014010,0.650979,0.019940,3840
0.050000,proposed_contact_budget_controller_v4_1,0.724286,0.000821,0.768007,0.001461,0.092360,0.000306,0.087495,0.000308,0.645525,0.000238,0.630121,0.000263,0.214886,0.000114,0.079323,0.000536,0.055325,0.000307,0.049690,0.000115,0.087626,0.000120,0.115676,0.000371,0.099197,0.000348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.050000,recovery_reserve_controller,0.675289,0.000898,0.630750,0.001618,0.125817,0.000337,0.114421,0.000347,0.600189,0.000237,0.588082,0.000264,0.232182,0.000114,0.096075,0.000536,0.084697,0.000307,0.065608,0.000115,0.121719,0.000123,0.144847,0.000398,0.131320,0.000379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.050000,risk_aware_contact_planner,0.638138,0.000950,0.506591,0.001724,0.147973,0.000348,0.142563,0.000381,0.555349,0.000243,0.512416,0.000265,0.246022,0.000114,0.137887,0.000537,0.098346,0.000308,0.073432,0.000115,0.095632,0.000125,0.169303,0.000414,0.162604,0.000399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.100000,chance_constrained_contact_mpc,0.648748,0.000914,0.535961,0.001654,0.133209,0.000339,0.125669,0.000361,0.585588,0.000240,0.506571,0.000261,0.287896,0.000115,0.141404,0.000535,0.079478,0.000310,0.063828,0.000116,0.159787,0.000124,0.163467,0.000407,0.147654,0.000386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.100000,dual_price_contact_budget_controller_v5,0.786014,0.000765,0.952674,0.001323,0.048093,0.000276,0.051201,0.000274,0.707826,0.000227,0.694105,0.000260,0.184594,0.000115,0.039715,0.000536,0.024567,0.000307,0.030139,0.000114,0.080444,0.000118,0.084141,0.000351,0.053761,0.000318,0.872656,0.010545,0.000000,0.000000,0.689994,0.008362,0.830306,0.011043,3840
0.100000,greedy_contact_planner,0.409328,0.001456,-0.238582,0.002603,0.396376,0.000506,0.339683,0.000633,0.363505,0.000263,0.301636,0.000282,0.184963,0.000113,0.287772,0.000537,0.292143,0.000306,0.150612,0.000118,0.028208,0.000136,0.358099,0.000547,0.396887,0.000570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.100000,oracle_contact_scheduler,0.885978,0.000715,1.172769,0.001100,0.007941,0.000217,0.012003,0.000233,0.781076,0.000226,0.768800,0.000250,0.152500,0.000110,0.016109,0.000464,0.002304,0.000144,0.015539,0.000114,0.063415,0.000117,0.051402,0.000286,0.013737,0.000246,1.000000,0.000000,0.000000,0.000000,0.885978,0.000715,1.172769,0.001100,3840
0.100000,proposed_contact_budget_controller_v4_1,0.724286,0.000821,0.768007,0.001461,0.092360,0.000306,0.087495,0.000308,0.645525,0.000238,0.630121,0.000263,0.214886,0.000114,0.079323,0.000536,0.055325,0.000307,0.049690,0.000115,0.087626,0.000120,0.115676,0.000371,0.099197,0.000348,0.056771,0.007320,0.000000,0.000000,0.043051,0.005552,-0.027907,0.006718,3840
0.100000,recovery_reserve_controller,0.675289,0.000898,0.630750,0.001618,0.125817,0.000337,0.114421,0.000347,0.600189,0.000237,0.588082,0.000264,0.232182,0.000114,0.096075,0.000536,0.084697,0.000307,0.065608,0.000115,0.121719,0.000123,0.144847,0.000398,0.131320,0.000379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.100000,risk_aware_contact_planner,0.638138,0.000950,0.506591,0.001724,0.147973,0.000348,0.142563,0.000381,0.555349,0.000243,0.512416,0.000265,0.246022,0.000114,0.137887,0.000537,0.098346,0.000308,0.073432,0.000115,0.095632,0.000125,0.169303,0.000414,0.162604,0.000399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.150000,chance_constrained_contact_mpc,0.648748,0.000914,0.535961,0.001654,0.133209,0.000339,0.125669,0.000361,0.585588,0.000240,0.506571,0.000261,0.287896,0.000115,0.141404,0.000535,0.079478,0.000310,0.063828,0.000116,0.159787,0.000124,0.163467,0.000407,0.147654,0.000386,0.128906,0.010600,0.000000,0.000000,0.087568,0.007203,0.007739,0.007218,3840
0.150000,dual_price_contact_budget_controller_v5,0.786014,0.000765,0.952674,0.001323,0.048093,0.000276,0.051201,0.000274,0.707826,0.000227,0.694105,0.000260,0.184594,0.000115,0.039715,0.000536,0.024567,0.000307,0.030139,0.000114,0.080444,0.000118,0.084141,0.000351,0.053761,0.000318,1.000000,0.000000,0.000000,0.000000,0.786014,0.000765,0.952674,0.001323,3840
0.150000,greedy_contact_planner,0.409328,0.001456,-0.238582,0.002603,0.396376,0.000506,0.339683,0.000633,0.363505,0.000263,0.301636,0.000282,0.184963,0.000113,0.287772,0.000537,0.292143,0.000306,0.150612,0.000118,0.028208,0.000136,0.358099,0.000547,0.396887,0.000570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,3840
0.150000,oracle_contact_scheduler,0.885978,0.000715,1.172769,0.001100,0.007941,0.000217,0.012003,0.000233,0.781076,0.000226,0.768800,0.000250,0.152500,0.000110,0.016109,0.000464,0.002304,0.000144,0.015539,0.000114,0.063415,0.000117,0.051402,0.000286,0.013737,0.000246,1.000000,0.000000,0.000000,0.000000,0.885978,0.000715,1.172769,0.001100,3840
0.150000,proposed_contact_budget_controller_v4_1,0.724286,0.000821,0.768007,0.001461,0.092360,0.000306,0.087495,0.000308,0.645525,0.000238,0.630121,0.000263,0.214886,0.000114,0.079323,0.000536,0.055325,0.000307,0.049690,0.000115,0.087626,0.000120,0.115676,0.000371,0.099197,0.000348,1.000000,0.000000,0.000000,0.000000,0.724286,0.000821,0.768007,0.001461,3840
0.150000,recovery_reserve_controller,0.675289,0.000898,0.630750,0.001618,0.125817,0.000337,0.114421,0.000347,0.600189,0.000237,0.588082,0.000264,0.232182,0.000114,0.096075,0.000536,0.084697,0.000307,0.065608,0.000115,0.121719,0.000123,0.144847,0.000398,0.131320,0.000379,0.708594,0.014375,0.000000,0.000000,0.486634,0.009889,0.441939,0.010620,3840
