ablation,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
full_dual_price_contact_budget_controller_v5,0.795158,0.000846,0.984343,0.001741,0.042740,0.000311,0.042309,0.000407,0.713689,0.000333,0.701241,0.000380,0.182064,0.000155,0.023406,0.000722,0.018966,0.000358,0.027251,0.000161,0.077630,0.000166,0.072961,0.000519,0.043542,0.000466,3840
greedy_budget_only,0.701724,0.001140,0.646465,0.002413,0.177770,0.000475,0.088600,0.000577,0.615214,0.000351,0.580740,0.000403,0.183472,0.000156,0.133185,0.000818,0.112605,0.000369,0.055936,0.000168,0.038827,0.000177,0.168213,0.000643,0.148298,0.000625,3840
minus_balance_price,0.757893,0.000980,0.850337,0.002088,0.083779,0.000371,0.063199,0.000505,0.634824,0.000343,0.653114,0.000396,0.187507,0.000154,0.061383,0.000816,0.043781,0.000370,0.035489,0.000166,0.071453,0.000172,0.101412,0.000601,0.078755,0.000556,3840
minus_calibration_guard,0.771741,0.000917,0.902583,0.001948,0.073227,0.000357,0.052410,0.000450,0.698472,0.000339,0.677908,0.000391,0.183995,0.000154,0.044574,0.000813,0.037036,0.000369,0.066820,0.000165,0.071289,0.000172,0.093352,0.000572,0.070515,0.000525,3840
minus_dual_price,0.750813,0.000991,0.816392,0.002096,0.111406,0.000389,0.064153,0.000487,0.681067,0.000340,0.635279,0.000397,0.193394,0.000157,0.089865,0.000812,0.055623,0.000369,0.036723,0.000165,0.065134,0.000170,0.118739,0.000594,0.096409,0.000553,3840
minus_episode_budget,0.755975,0.000964,0.820106,0.002061,0.125074,0.000400,0.061963,0.000477,0.681563,0.000341,0.651828,0.000389,0.193885,0.000155,0.080494,0.000816,0.059281,0.000370,0.036408,0.000166,0.065397,0.000171,0.121073,0.000598,0.098469,0.000554,3840
minus_fixed_budget_screen,0.769782,0.000935,0.883430,0.002010,0.094805,0.000377,0.058070,0.000476,0.695454,0.000342,0.675748,0.000393,0.178455,0.000154,0.052354,0.000814,0.053744,0.000370,0.039244,0.000168,0.041448,0.000169,0.102929,0.000593,0.080085,0.000545,3840
minus_manipulation_reserve,0.762509,0.000936,0.862816,0.002004,0.094438,0.000371,0.058196,0.000470,0.691368,0.000340,0.659851,0.000397,0.187884,0.000155,0.072334,0.000816,0.045721,0.000367,0.033469,0.000166,0.069541,0.000169,0.105457,0.000588,0.082637,0.000539,3840
minus_recovery_reserve,0.764011,0.000961,0.839879,0.002058,0.091109,0.000381,0.063461,0.000493,0.688764,0.000342,0.604008,0.000394,0.187869,0.000156,0.099151,0.000818,0.044413,0.000368,0.034943,0.000165,0.067398,0.000172,0.112362,0.000599,0.089666,0.000553,3840
minus_reliability_model,0.758135,0.000980,0.851373,0.002080,0.088164,0.000379,0.064179,0.000494,0.673995,0.000342,0.665473,0.000393,0.195368,0.000155,0.057496,0.000818,0.069212,0.000368,0.044381,0.000166,0.068533,0.000171,0.104827,0.000580,0.084099,0.000554,3840
