method,stress_level,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
chance_constrained_contact_mpc,0.000000,0,0.714386,0.002074,0.709574,0.002768,0.098173,0.000524,0.077617,0.000520,0.614650,0.000464,0.538055,0.000504,0.275882,0.000243,0.091418,0.000969,0.055033,0.000533,0.050169,0.000212,0.145616,0.000227,0.112726,0.000523,0.099718,0.000507,384
chance_constrained_contact_mpc,0.000000,1,0.714539,0.002048,0.709967,0.002716,0.097672,0.000531,0.077602,0.000499,0.614521,0.000465,0.538007,0.000502,0.275781,0.000227,0.091705,0.000966,0.055033,0.000521,0.050224,0.000212,0.145524,0.000221,0.112653,0.000519,0.099612,0.000499,384
chance_constrained_contact_mpc,0.000000,2,0.715074,0.002134,0.710406,0.002795,0.097878,0.000488,0.077660,0.000523,0.615061,0.000472,0.538073,0.000503,0.275797,0.000230,0.091563,0.000977,0.055427,0.000512,0.050231,0.000214,0.145710,0.000221,0.112712,0.000511,0.099723,0.000496,384
chance_constrained_contact_mpc,0.000000,3,0.714997,0.002075,0.710039,0.002733,0.098159,0.000536,0.077642,0.000495,0.614644,0.000483,0.538076,0.000496,0.275786,0.000242,0.091719,0.000947,0.055238,0.000520,0.050225,0.000208,0.145655,0.000225,0.112841,0.000525,0.099822,0.000497,384
chance_constrained_contact_mpc,0.000000,4,0.714883,0.002064,0.710106,0.002740,0.097752,0.000524,0.077651,0.000503,0.614586,0.000475,0.538098,0.000466,0.275749,0.000242,0.091928,0.000948,0.055347,0.000528,0.050223,0.000216,0.145639,0.000221,0.112702,0.000528,0.099746,0.000502,384
chance_constrained_contact_mpc,0.000000,5,0.714902,0.002082,0.710168,0.002761,0.097815,0.000511,0.077741,0.000523,0.614612,0.000466,0.538080,0.000496,0.275808,0.000237,0.091511,0.000973,0.055164,0.000507,0.050279,0.000212,0.145660,0.000218,0.112803,0.000530,0.099699,0.000507,384
chance_constrained_contact_mpc,0.000000,6,0.714997,0.002105,0.710295,0.002765,0.098048,0.000512,0.077568,0.000507,0.614470,0.000476,0.538253,0.000501,0.275557,0.000239,0.091548,0.000958,0.055161,0.000531,0.050307,0.000214,0.145621,0.000222,0.112759,0.000517,0.099718,0.000496,384
chance_constrained_contact_mpc,0.000000,7,0.714214,0.002077,0.709458,0.002761,0.098204,0.000539,0.077647,0.000516,0.614759,0.000466,0.538310,0.000507,0.275675,0.000234,0.091470,0.000997,0.055063,0.000521,0.050222,0.000204,0.145583,0.000220,0.112750,0.000526,0.099763,0.000506,384
chance_constrained_contact_mpc,0.000000,8,0.714501,0.002089,0.709614,0.002770,0.098025,0.000524,0.077745,0.000505,0.614643,0.000467,0.537714,0.000503,0.275712,0.000224,0.091608,0.000979,0.054850,0.000526,0.050260,0.000205,0.145488,0.000226,0.112815,0.000518,0.099754,0.000500,384
chance_constrained_contact_mpc,0.000000,9,0.715112,0.002065,0.710381,0.002783,0.097931,0.000552,0.077603,0.000531,0.614550,0.000485,0.538247,0.000502,0.275736,0.000233,0.091660,0.000965,0.055033,0.000526,0.050483,0.000216,0.145615,0.000220,0.112651,0.000539,0.099726,0.000523,384
