method,stress_level,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
chance_constrained_contact_mpc,0.150000,0,0.696671,0.002163,0.663260,0.003120,0.107338,0.000626,0.090298,0.000692,0.606494,0.000478,0.529318,0.000526,0.279369,0.000248,0.103533,0.001160,0.062358,0.000594,0.054031,0.000221,0.149647,0.000236,0.126065,0.000669,0.112245,0.000649,384
chance_constrained_contact_mpc,0.150000,1,0.696823,0.002137,0.663653,0.003071,0.106838,0.000629,0.090282,0.000672,0.606365,0.000479,0.529270,0.000526,0.279268,0.000233,0.103819,0.001159,0.062358,0.000579,0.054087,0.000221,0.149555,0.000232,0.125992,0.000664,0.112139,0.000642,384
chance_constrained_contact_mpc,0.150000,2,0.697359,0.002221,0.664092,0.003141,0.107043,0.000589,0.090340,0.000696,0.606905,0.000484,0.529336,0.000530,0.279284,0.000236,0.103678,0.001161,0.062752,0.000573,0.054094,0.000222,0.149742,0.000231,0.126051,0.000656,0.112250,0.000639,384
chance_constrained_contact_mpc,0.150000,3,0.697282,0.002166,0.663724,0.003092,0.107325,0.000638,0.090322,0.000666,0.606488,0.000493,0.529339,0.000524,0.279273,0.000248,0.103834,0.001140,0.062563,0.000581,0.054087,0.000217,0.149686,0.000236,0.126179,0.000673,0.112349,0.000641,384
chance_constrained_contact_mpc,0.150000,4,0.697167,0.002150,0.663792,0.003092,0.106918,0.000627,0.090331,0.000673,0.606430,0.000489,0.529361,0.000494,0.279237,0.000248,0.104042,0.001141,0.062672,0.000589,0.054085,0.000226,0.149670,0.000234,0.126041,0.000674,0.112273,0.000646,384
chance_constrained_contact_mpc,0.150000,5,0.697187,0.002165,0.663854,0.003106,0.106981,0.000610,0.090421,0.000695,0.606456,0.000483,0.529343,0.000524,0.279295,0.000241,0.103626,0.001163,0.062489,0.000568,0.054141,0.000220,0.149691,0.000228,0.126142,0.000675,0.112226,0.000649,384
chance_constrained_contact_mpc,0.150000,6,0.697282,0.002194,0.663981,0.003119,0.107213,0.000613,0.090248,0.000678,0.606314,0.000493,0.529516,0.000526,0.279045,0.000244,0.103663,0.001147,0.062486,0.000590,0.054169,0.000223,0.149652,0.000233,0.126097,0.000660,0.112245,0.000638,384
chance_constrained_contact_mpc,0.150000,7,0.696499,0.002172,0.663144,0.003123,0.107370,0.000642,0.090327,0.000686,0.606603,0.000476,0.529573,0.000526,0.279163,0.000241,0.103585,0.001187,0.062389,0.000579,0.054085,0.000213,0.149614,0.000230,0.126089,0.000671,0.112290,0.000649,384
chance_constrained_contact_mpc,0.150000,8,0.696785,0.002185,0.663300,0.003132,0.107191,0.000626,0.090425,0.000677,0.606488,0.000484,0.528977,0.000527,0.279199,0.000228,0.103722,0.001167,0.062175,0.000585,0.054122,0.000212,0.149519,0.000239,0.126154,0.000662,0.112281,0.000642,384
chance_constrained_contact_mpc,0.150000,9,0.697397,0.002154,0.664067,0.003140,0.107097,0.000654,0.090283,0.000704,0.606394,0.000499,0.529510,0.000528,0.279224,0.000237,0.103775,0.001157,0.062358,0.000587,0.054346,0.000225,0.149646,0.000232,0.125990,0.000684,0.112254,0.000666,384
chance_constrained_contact_mpc,0.300000,0,0.678317,0.002288,0.616297,0.003552,0.116504,0.000740,0.102989,0.000871,0.598337,0.000500,0.520581,0.000557,0.282857,0.000255,0.115648,0.001375,0.069683,0.000668,0.057894,0.000231,0.153695,0.000249,0.139408,0.000825,0.124776,0.000802,384
chance_constrained_contact_mpc,0.300000,1,0.678470,0.002262,0.616689,0.003505,0.116004,0.000742,0.102974,0.000852,0.598208,0.000500,0.520533,0.000560,0.282756,0.000241,0.115934,0.001375,0.069683,0.000651,0.057949,0.000233,0.153602,0.000246,0.139336,0.000820,0.124671,0.000794,384
chance_constrained_contact_mpc,0.300000,2,0.679005,0.002344,0.617129,0.003567,0.116209,0.000705,0.103032,0.000877,0.598748,0.000502,0.520598,0.000565,0.282772,0.000243,0.115792,0.001370,0.070077,0.000647,0.057956,0.000233,0.153789,0.000245,0.139395,0.000812,0.124782,0.000791,384
chance_constrained_contact_mpc,0.300000,3,0.678928,0.002291,0.616761,0.003529,0.116490,0.000753,0.103014,0.000845,0.598331,0.000510,0.520602,0.000561,0.282761,0.000255,0.115949,0.001355,0.069888,0.000655,0.057950,0.000230,0.153733,0.000249,0.139523,0.000830,0.124881,0.000793,384
chance_constrained_contact_mpc,0.300000,4,0.678814,0.002272,0.616828,0.003524,0.116084,0.000742,0.103023,0.000852,0.598273,0.000509,0.520623,0.000530,0.282724,0.000256,0.116157,0.001357,0.069997,0.000663,0.057948,0.000240,0.153718,0.000249,0.139385,0.000831,0.124805,0.000799,384
chance_constrained_contact_mpc,0.300000,5,0.678833,0.002283,0.616890,0.003532,0.116146,0.000724,0.103113,0.000874,0.598299,0.000506,0.520606,0.000561,0.282783,0.000246,0.115740,0.001377,0.069815,0.000643,0.058004,0.000231,0.153738,0.000241,0.139485,0.000830,0.124758,0.000800,384
chance_constrained_contact_mpc,0.300000,6,0.678928,0.002319,0.617018,0.003551,0.116379,0.000728,0.102940,0.000858,0.598157,0.000516,0.520778,0.000560,0.282533,0.000251,0.115778,0.001360,0.069812,0.000663,0.058032,0.000235,0.153699,0.000247,0.139441,0.000815,0.124777,0.000789,384
chance_constrained_contact_mpc,0.300000,7,0.678145,0.002304,0.616181,0.003563,0.116535,0.000758,0.103018,0.000865,0.598446,0.000493,0.520836,0.000554,0.282650,0.000249,0.115700,0.001400,0.069714,0.000651,0.057947,0.000224,0.153662,0.000242,0.139433,0.000827,0.124822,0.000802,384
chance_constrained_contact_mpc,0.300000,8,0.678432,0.002317,0.616336,0.003572,0.116357,0.000741,0.103117,0.000857,0.598331,0.000508,0.520240,0.000561,0.282687,0.000234,0.115837,0.001379,0.069501,0.000659,0.057985,0.000222,0.153566,0.000254,0.139498,0.000817,0.124813,0.000794,384
chance_constrained_contact_mpc,0.300000,9,0.679043,0.002279,0.617104,0.003575,0.116263,0.000769,0.102974,0.000884,0.598237,0.000519,0.520773,0.000563,0.282712,0.000243,0.115889,0.001373,0.069683,0.000662,0.058208,0.000237,0.153693,0.000246,0.139333,0.000839,0.124785,0.000818,384
chance_constrained_contact_mpc,0.450000,0,0.659325,0.002453,0.568684,0.004050,0.125670,0.000863,0.115692,0.001055,0.590179,0.000527,0.511842,0.000597,0.286345,0.000264,0.127762,0.001603,0.077008,0.000752,0.061756,0.000245,0.157759,0.000264,0.152757,0.000987,0.137313,0.000959,384
chance_constrained_contact_mpc,0.450000,1,0.659478,0.002428,0.569076,0.004006,0.125170,0.000863,0.115677,0.001036,0.590050,0.000526,0.511794,0.000601,0.286244,0.000250,0.128049,0.001604,0.077008,0.000733,0.061812,0.000247,0.157667,0.000262,0.152684,0.000981,0.137207,0.000951,384
chance_constrained_contact_mpc,0.450000,2,0.660013,0.002507,0.569516,0.004062,0.125375,0.000829,0.115735,0.001061,0.590590,0.000526,0.511860,0.000608,0.286260,0.000252,0.127907,0.001595,0.077402,0.000731,0.061819,0.000246,0.157853,0.000261,0.152743,0.000973,0.137319,0.000948,384
chance_constrained_contact_mpc,0.450000,3,0.659937,0.002457,0.569148,0.004032,0.125656,0.000876,0.115717,0.001029,0.590173,0.000533,0.511863,0.000605,0.286248,0.000264,0.128063,0.001584,0.077213,0.000739,0.061812,0.000244,0.157798,0.000265,0.152872,0.000992,0.137418,0.000951,384
chance_constrained_contact_mpc,0.450000,4,0.659822,0.002434,0.569216,0.004022,0.125250,0.000866,0.115726,0.001035,0.590115,0.000535,0.511885,0.000575,0.286212,0.000265,0.128272,0.001587,0.077322,0.000747,0.061810,0.000255,0.157782,0.000266,0.152733,0.000993,0.137342,0.000956,384
chance_constrained_contact_mpc,0.450000,5,0.659841,0.002443,0.569278,0.004027,0.125312,0.000846,0.115816,0.001058,0.590141,0.000534,0.511867,0.000606,0.286271,0.000253,0.127855,0.001604,0.077140,0.000728,0.061866,0.000245,0.157803,0.000257,0.152834,0.000990,0.137295,0.000957,384
chance_constrained_contact_mpc,0.450000,6,0.659937,0.002483,0.569405,0.004050,0.125545,0.000851,0.115643,0.001041,0.589999,0.000545,0.512040,0.000602,0.286020,0.000259,0.127893,0.001587,0.077137,0.000746,0.061894,0.000249,0.157764,0.000263,0.152790,0.000975,0.137313,0.000946,384
chance_constrained_contact_mpc,0.450000,7,0.659154,0.002475,0.568568,0.004068,0.125701,0.000881,0.115722,0.001048,0.590288,0.000515,0.512097,0.000592,0.286138,0.000258,0.127814,0.001627,0.077039,0.000733,0.061810,0.000239,0.157726,0.000257,0.152781,0.000988,0.137359,0.000959,384
chance_constrained_contact_mpc,0.450000,8,0.659440,0.002490,0.568723,0.004077,0.125522,0.000864,0.115820,0.001041,0.590173,0.000536,0.511501,0.000603,0.286175,0.000242,0.127952,0.001606,0.076826,0.000742,0.061847,0.000235,0.157631,0.000272,0.152846,0.000977,0.137349,0.000951,384
chance_constrained_contact_mpc,0.450000,9,0.660051,0.002445,0.569491,0.004076,0.125429,0.000891,0.115678,0.001068,0.590079,0.000545,0.512034,0.000606,0.286199,0.000251,0.128004,0.001602,0.077008,0.000746,0.062071,0.000251,0.157758,0.000263,0.152682,0.000999,0.137322,0.000975,384
chance_constrained_contact_mpc,0.600000,0,0.639696,0.002663,0.520422,0.004604,0.134836,0.000991,0.128407,0.001241,0.582020,0.000559,0.503103,0.000643,0.289832,0.000274,0.139877,0.001840,0.084333,0.000842,0.065619,0.000260,0.161840,0.000282,0.166110,0.001151,0.149855,0.001119,384
chance_constrained_contact_mpc,0.600000,1,0.639848,0.002638,0.520814,0.004563,0.134335,0.000989,0.128392,0.001223,0.581891,0.000558,0.503055,0.000649,0.289731,0.000261,0.140164,0.001841,0.084333,0.000823,0.065674,0.000263,0.161748,0.000281,0.166037,0.001146,0.149749,0.001112,384
chance_constrained_contact_mpc,0.600000,2,0.640383,0.002713,0.521254,0.004614,0.134540,0.000957,0.128450,0.001247,0.582431,0.000555,0.503121,0.000657,0.289747,0.000262,0.140022,0.001829,0.084727,0.000822,0.065681,0.000261,0.161934,0.000279,0.166097,0.001138,0.149860,0.001108,384
chance_constrained_contact_mpc,0.600000,3,0.640307,0.002667,0.520886,0.004592,0.134822,0.001004,0.128432,0.001215,0.582014,0.000562,0.503124,0.000655,0.289736,0.000274,0.140178,0.001822,0.084539,0.000829,0.065675,0.000261,0.161879,0.000283,0.166225,0.001157,0.149959,0.001112,384
chance_constrained_contact_mpc,0.600000,4,0.640192,0.002641,0.520954,0.004577,0.134415,0.000994,0.128441,0.001221,0.581956,0.000566,0.503146,0.000626,0.289699,0.000276,0.140387,0.001825,0.084648,0.000837,0.065673,0.000272,0.161863,0.000286,0.166086,0.001157,0.149883,0.001117,384
chance_constrained_contact_mpc,0.600000,5,0.640211,0.002647,0.521015,0.004579,0.134478,0.000973,0.128530,0.001244,0.581982,0.000567,0.503128,0.000657,0.289758,0.000262,0.139970,0.001841,0.084465,0.000819,0.065729,0.000260,0.161884,0.000275,0.166187,0.001154,0.149836,0.001117,384
chance_constrained_contact_mpc,0.600000,6,0.640307,0.002691,0.521143,0.004605,0.134711,0.000979,0.128357,0.001227,0.581840,0.000578,0.503300,0.000650,0.289508,0.000269,0.140007,0.001824,0.084462,0.000836,0.065757,0.000265,0.161845,0.000282,0.166143,0.001139,0.149855,0.001106,384
chance_constrained_contact_mpc,0.600000,7,0.639524,0.002691,0.520306,0.004629,0.134867,0.001009,0.128436,0.001234,0.582129,0.000544,0.503358,0.000636,0.289626,0.000270,0.139929,0.001863,0.084364,0.000822,0.065672,0.000255,0.161807,0.000275,0.166135,0.001153,0.149900,0.001120,384
chance_constrained_contact_mpc,0.600000,8,0.639810,0.002706,0.520461,0.004638,0.134688,0.000991,0.128535,0.001228,0.582014,0.000570,0.502762,0.000651,0.289662,0.000251,0.140067,0.001842,0.084151,0.000831,0.065710,0.000250,0.161712,0.000292,0.166200,0.001141,0.149891,0.001111,384
chance_constrained_contact_mpc,0.600000,9,0.640421,0.002655,0.521229,0.004633,0.134594,0.001018,0.128392,0.001255,0.581920,0.000576,0.503295,0.000655,0.289687,0.000260,0.140119,0.001840,0.084333,0.000837,0.065933,0.000266,0.161839,0.000282,0.166035,0.001163,0.149864,0.001135,384
chance_constrained_contact_mpc,0.750000,0,0.619427,0.002918,0.471511,0.005209,0.144001,0.001122,0.141133,0.001429,0.573860,0.000595,0.494363,0.000694,0.293320,0.000285,0.151992,0.002083,0.091658,0.000937,0.069481,0.000277,0.165937,0.000301,0.179468,0.001318,0.162401,0.001281,384
chance_constrained_contact_mpc,0.750000,1,0.619580,0.002894,0.471903,0.005170,0.143501,0.001120,0.141118,0.001411,0.573731,0.000593,0.494315,0.000702,0.293219,0.000273,0.152278,0.002084,0.091659,0.000917,0.069537,0.000281,0.165845,0.000302,0.179396,0.001312,0.162295,0.001274,384
chance_constrained_contact_mpc,0.750000,2,0.620115,0.002966,0.472343,0.005217,0.143706,0.001089,0.141176,0.001435,0.574271,0.000589,0.494380,0.000711,0.293235,0.000274,0.152137,0.002070,0.092052,0.000917,0.069544,0.000278,0.166032,0.000299,0.179455,0.001304,0.162407,0.001270,384
chance_constrained_contact_mpc,0.750000,3,0.620039,0.002923,0.471975,0.005200,0.143988,0.001136,0.141158,0.001403,0.573854,0.000595,0.494384,0.000710,0.293224,0.000285,0.152293,0.002065,0.091864,0.000924,0.069537,0.000279,0.165976,0.000304,0.179583,0.001324,0.162505,0.001274,384
chance_constrained_contact_mpc,0.750000,4,0.619924,0.002894,0.472042,0.005182,0.143581,0.001125,0.141167,0.001409,0.573796,0.000602,0.494405,0.000681,0.293187,0.000288,0.152501,0.002068,0.091973,0.000932,0.069536,0.000290,0.165960,0.000308,0.179445,0.001324,0.162430,0.001279,384
chance_constrained_contact_mpc,0.750000,5,0.619943,0.002898,0.472104,0.005182,0.143644,0.001104,0.141257,0.001432,0.573822,0.000604,0.494388,0.000712,0.293246,0.000272,0.152085,0.002083,0.091790,0.000914,0.069591,0.000277,0.165981,0.000295,0.179545,0.001321,0.162383,0.001279,384
chance_constrained_contact_mpc,0.750000,6,0.620039,0.002944,0.472231,0.005210,0.143876,0.001110,0.141084,0.001415,0.573680,0.000615,0.494560,0.000703,0.292996,0.000281,0.152122,0.002066,0.091787,0.000930,0.069619,0.000283,0.165942,0.000302,0.179501,0.001305,0.162401,0.001268,384
chance_constrained_contact_mpc,0.750000,7,0.619255,0.002951,0.471395,0.005239,0.144033,0.001140,0.141162,0.001421,0.573969,0.000576,0.494618,0.000685,0.293113,0.000282,0.152044,0.002105,0.091689,0.000916,0.069535,0.000272,0.165905,0.000295,0.179493,0.001319,0.162447,0.001282,384
chance_constrained_contact_mpc,0.750000,8,0.619542,0.002968,0.471550,0.005248,0.143854,0.001123,0.141261,0.001416,0.573854,0.000607,0.494022,0.000704,0.293150,0.000262,0.152181,0.002083,0.091476,0.000926,0.069573,0.000267,0.165809,0.000314,0.179558,0.001308,0.162437,0.001274,384
chance_constrained_contact_mpc,0.750000,9,0.620153,0.002911,0.472318,0.005240,0.143760,0.001149,0.141118,0.001443,0.573760,0.000611,0.494555,0.000709,0.293175,0.000271,0.152234,0.002083,0.091659,0.000932,0.069796,0.000284,0.165936,0.000303,0.179393,0.001329,0.162410,0.001297,384
chance_constrained_contact_mpc,0.900000,0,0.598521,0.003219,0.421950,0.005858,0.153167,0.001256,0.153871,0.001618,0.565699,0.000635,0.485622,0.000750,0.296807,0.000298,0.164107,0.002330,0.098983,0.001035,0.073344,0.000295,0.170051,0.000323,0.192831,0.001485,0.174952,0.001445,384
chance_constrained_contact_mpc,0.900000,1,0.598674,0.003196,0.422342,0.005822,0.152667,0.001252,0.153855,0.001600,0.565570,0.000633,0.485574,0.000759,0.296707,0.000286,0.164393,0.002331,0.098984,0.001015,0.073399,0.000300,0.169959,0.000325,0.192759,0.001480,0.174846,0.001438,384
chance_constrained_contact_mpc,0.900000,2,0.599209,0.003264,0.422782,0.005865,0.152872,0.001224,0.153914,0.001624,0.566110,0.000627,0.485640,0.000768,0.296723,0.000287,0.164251,0.002315,0.099378,0.001016,0.073406,0.000296,0.170146,0.000322,0.192818,0.001472,0.174958,0.001434,384
chance_constrained_contact_mpc,0.900000,3,0.599132,0.003224,0.422414,0.005853,0.153153,0.001269,0.153895,0.001592,0.565693,0.000631,0.485643,0.000768,0.296711,0.000298,0.164408,0.002313,0.099189,0.001023,0.073400,0.000298,0.170090,0.000326,0.192946,0.001492,0.175057,0.001438,384
chance_constrained_contact_mpc,0.900000,4,0.599018,0.003193,0.422481,0.005832,0.152747,0.001259,0.153905,0.001598,0.565635,0.000640,0.485665,0.000741,0.296675,0.000301,0.164616,0.002316,0.099298,0.001030,0.073398,0.000310,0.170074,0.000331,0.192808,0.001492,0.174981,0.001443,384
chance_constrained_contact_mpc,0.900000,5,0.599037,0.003195,0.422543,0.005831,0.152809,0.001238,0.153994,0.001621,0.565661,0.000645,0.485647,0.000771,0.296734,0.000283,0.164199,0.002330,0.099115,0.001013,0.073454,0.000295,0.170095,0.000318,0.192908,0.001488,0.174934,0.001442,384
chance_constrained_contact_mpc,0.900000,6,0.599132,0.003243,0.422670,0.005860,0.153042,0.001244,0.153821,0.001604,0.565519,0.000655,0.485819,0.000760,0.296483,0.000293,0.164237,0.002312,0.099112,0.001028,0.073482,0.000301,0.170056,0.000325,0.192864,0.001473,0.174952,0.001431,384
chance_constrained_contact_mpc,0.900000,7,0.598349,0.003257,0.421834,0.005893,0.153198,0.001274,0.153900,0.001610,0.565808,0.000613,0.485877,0.000740,0.296601,0.000295,0.164159,0.002351,0.099014,0.001014,0.073398,0.000291,0.170019,0.000317,0.192856,0.001487,0.174998,0.001446,384
chance_constrained_contact_mpc,0.900000,8,0.598636,0.003274,0.421989,0.005902,0.153020,0.001256,0.153999,0.001605,0.565693,0.000648,0.485281,0.000760,0.296638,0.000275,0.164296,0.002329,0.098801,0.001024,0.073435,0.000285,0.169923,0.000337,0.192921,0.001475,0.174988,0.001437,384
chance_constrained_contact_mpc,0.900000,9,0.599247,0.003213,0.422757,0.005891,0.152926,0.001282,0.153856,0.001632,0.565599,0.000650,0.485814,0.000767,0.296662,0.000283,0.164348,0.002330,0.098984,0.001031,0.073658,0.000302,0.170050,0.000326,0.192756,0.001497,0.174961,0.001460,384
dual_price_contact_budget_controller_v5,0.000000,0,0.825254,0.002181,1.073839,0.002480,0.024088,0.000477,0.018774,0.000423,0.734883,0.000478,0.723486,0.000504,0.172790,0.000235,0.000850,0.000280,0.002145,0.000301,0.016757,0.000205,0.066883,0.000229,0.044562,0.000350,0.018865,0.000306,384
dual_price_contact_budget_controller_v5,0.000000,1,0.825082,0.002126,1.073605,0.002469,0.023987,0.000517,0.018917,0.000457,0.735232,0.000448,0.723354,0.000505,0.172580,0.000240,0.000969,0.000288,0.002289,0.000304,0.016911,0.000218,0.067119,0.000210,0.044619,0.000368,0.018956,0.000334,384
dual_price_contact_budget_controller_v5,0.000000,2,0.825541,0.002077,1.073823,0.002414,0.024311,0.000529,0.019021,0.000440,0.735233,0.000497,0.723385,0.000537,0.172729,0.000250,0.000953,0.000307,0.002105,0.000297,0.016685,0.000209,0.066988,0.000223,0.044720,0.000363,0.019053,0.000329,384
dual_price_contact_budget_controller_v5,0.000000,3,0.825827,0.002113,1.074214,0.002427,0.024167,0.000506,0.018931,0.000439,0.735102,0.000479,0.723064,0.000528,0.172429,0.000236,0.000942,0.000285,0.002257,0.000312,0.016782,0.000210,0.066969,0.000216,0.044573,0.000353,0.018995,0.000320,384
dual_price_contact_budget_controller_v5,0.000000,4,0.826114,0.002095,1.074491,0.002446,0.024297,0.000533,0.018962,0.000448,0.735070,0.000477,0.723320,0.000498,0.172374,0.000237,0.000896,0.000285,0.002152,0.000290,0.016816,0.000210,0.066787,0.000227,0.044731,0.000364,0.019035,0.000327,384
dual_price_contact_budget_controller_v5,0.000000,5,0.825712,0.002065,1.074401,0.002414,0.023930,0.000516,0.018961,0.000459,0.735234,0.000465,0.723539,0.000519,0.172509,0.000239,0.000893,0.000279,0.002079,0.000302,0.016836,0.000205,0.066920,0.000217,0.044482,0.000374,0.018903,0.000334,384
dual_price_contact_budget_controller_v5,0.000000,6,0.825541,0.002092,1.073749,0.002418,0.024169,0.000524,0.018925,0.000452,0.734772,0.000452,0.722924,0.000497,0.172569,0.000240,0.000875,0.000281,0.002252,0.000338,0.016992,0.000204,0.067151,0.000216,0.044643,0.000352,0.019008,0.000326,384
dual_price_contact_budget_controller_v5,0.000000,7,0.825197,0.002122,1.073696,0.002445,0.024312,0.000511,0.018809,0.000431,0.734958,0.000488,0.723831,0.000513,0.172572,0.000239,0.000999,0.000305,0.002179,0.000309,0.016712,0.000213,0.066875,0.000224,0.044668,0.000357,0.018987,0.000324,384
dual_price_contact_budget_controller_v5,0.000000,8,0.825369,0.002108,1.073756,0.002398,0.024086,0.000493,0.018885,0.000439,0.734996,0.000459,0.722956,0.000531,0.172651,0.000239,0.000940,0.000303,0.002212,0.000308,0.016776,0.000201,0.066937,0.000226,0.044672,0.000359,0.018942,0.000328,384
dual_price_contact_budget_controller_v5,0.000000,9,0.825483,0.002070,1.074086,0.002382,0.024157,0.000522,0.018689,0.000427,0.735269,0.000470,0.723038,0.000507,0.172527,0.000233,0.000982,0.000304,0.002099,0.000289,0.016823,0.000199,0.067050,0.000220,0.044442,0.000352,0.018886,0.000318,384
dual_price_contact_budget_controller_v5,0.150000,0,0.814662,0.002218,1.044246,0.002827,0.030013,0.000557,0.026733,0.000578,0.727239,0.000490,0.715859,0.000513,0.176207,0.000240,0.005544,0.000784,0.007697,0.000532,0.020479,0.000217,0.070729,0.000238,0.053492,0.000544,0.026442,0.000497,384
dual_price_contact_budget_controller_v5,0.150000,1,0.814490,0.002161,1.043941,0.002812,0.029911,0.000603,0.026883,0.000613,0.727588,0.000456,0.715712,0.000518,0.175999,0.000247,0.005801,0.000803,0.007903,0.000538,0.020634,0.000227,0.070965,0.000219,0.053590,0.000557,0.026574,0.000520,384
dual_price_contact_budget_controller_v5,0.150000,2,0.814949,0.002115,1.044276,0.002762,0.030235,0.000616,0.026977,0.000595,0.727590,0.000509,0.715764,0.000554,0.176142,0.000257,0.005594,0.000803,0.007550,0.000537,0.020406,0.000217,0.070834,0.000233,0.053624,0.000555,0.026604,0.000520,384
dual_price_contact_budget_controller_v5,0.150000,3,0.815235,0.002150,1.044624,0.002778,0.030091,0.000591,0.026889,0.000596,0.727458,0.000490,0.715437,0.000535,0.175846,0.000241,0.005629,0.000805,0.007812,0.000543,0.020504,0.000219,0.070815,0.000226,0.053502,0.000548,0.026571,0.000512,384
dual_price_contact_budget_controller_v5,0.150000,4,0.815522,0.002135,1.044920,0.002797,0.030221,0.000620,0.026920,0.000602,0.727427,0.000488,0.715695,0.000501,0.175788,0.000243,0.005571,0.000794,0.007644,0.000530,0.020537,0.000219,0.070633,0.000236,0.053649,0.000549,0.026600,0.000512,384
dual_price_contact_budget_controller_v5,0.150000,5,0.815121,0.002104,1.044771,0.002763,0.029854,0.000596,0.026931,0.000616,0.727590,0.000474,0.715889,0.000522,0.175916,0.000244,0.005795,0.000792,0.007383,0.000556,0.020560,0.000213,0.070766,0.000227,0.053433,0.000567,0.026501,0.000525,384
dual_price_contact_budget_controller_v5,0.150000,6,0.814949,0.002127,1.044145,0.002769,0.030093,0.000609,0.026889,0.000609,0.727128,0.000468,0.715287,0.000501,0.175981,0.000246,0.005657,0.000791,0.007678,0.000574,0.020715,0.000213,0.070997,0.000224,0.053579,0.000545,0.026591,0.000517,384
