method,task,regime,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,bimanual_shelf_reach,compound_contact_scarcity,clean_deployment,0.596879,0.001346,0.389036,0.001670,0.167217,0.000747,0.149651,0.000501,0.535619,0.000924,0.428880,0.000918,0.273304,0.000515,0.186217,0.000621,0.123771,0.000630,0.080311,0.000417,0.130745,0.000411,0.188450,0.000425,0.186771,0.000362,80
cbf_safety_controller,bimanual_shelf_reach,compound_contact_scarcity,combined_stress,0.536233,0.001401,0.265220,0.001612,0.192678,0.000766,0.180810,0.000484,0.519174,0.000867,0.412098,0.000881,0.280756,0.000479,0.201371,0.000692,0.135473,0.000644,0.088047,0.000471,0.139782,0.000425,0.216814,0.000476,0.214336,0.000366,80
cbf_safety_controller,bimanual_shelf_reach,compound_contact_scarcity,heldout_layout,0.569116,0.001289,0.338304,0.001659,0.175541,0.000870,0.160820,0.000537,0.529148,0.000849,0.423089,0.000829,0.276569,0.000507,0.192580,0.000619,0.128778,0.000627,0.083535,0.000407,0.134568,0.000484,0.198746,0.000476,0.196744,0.000468,80
cbf_safety_controller,bimanual_shelf_reach,compound_contact_scarcity,heldout_object,0.581967,0.001306,0.360916,0.001651,0.172563,0.000658,0.155328,0.000514,0.532333,0.000925,0.425561,0.000860,0.275246,0.000500,0.190075,0.000633,0.127400,0.000575,0.082553,0.000445,0.132979,0.000460,0.194541,0.000447,0.192571,0.000373,80
cbf_safety_controller,bimanual_shelf_reach,compound_contact_scarcity,heldout_payload,0.557722,0.001468,0.303230,0.001714,0.186851,0.000753,0.173234,0.000476,0.524289,0.000855,0.417383,0.000858,0.278086,0.000513,0.196738,0.000635,0.131884,0.000608,0.085808,0.000407,0.136433,0.000473,0.209630,0.000463,0.207409,0.000377,80
cbf_safety_controller,bimanual_shelf_reach,contact_dropout,clean_deployment,0.630974,0.001493,0.475141,0.001710,0.158464,0.000692,0.120077,0.000516,0.547481,0.000892,0.441602,0.000883,0.268733,0.000507,0.158540,0.000624,0.107050,0.000687,0.075423,0.000431,0.125558,0.000424,0.164025,0.000525,0.162594,0.000391,80
cbf_safety_controller,bimanual_shelf_reach,contact_dropout,combined_stress,0.588672,0.001335,0.369711,0.001621,0.183330,0.000784,0.151601,0.000515,0.530637,0.000940,0.424960,0.000865,0.275485,0.000497,0.174315,0.000598,0.118750,0.000650,0.083382,0.000440,0.133593,0.000445,0.192207,0.000491,0.190278,0.000437,80
cbf_safety_controller,bimanual_shelf_reach,contact_dropout,heldout_layout,0.611758,0.001304,0.432717,0.001412,0.166939,0.000788,0.131121,0.000526,0.540652,0.000917,0.434803,0.000898,0.271568,0.000526,0.164778,0.000642,0.111968,0.000589,0.079224,0.000440,0.129094,0.000456,0.174174,0.000442,0.172608,0.000394,80
cbf_safety_controller,bimanual_shelf_reach,contact_dropout,heldout_object,0.620610,0.001512,0.451415,0.001657,0.163060,0.000709,0.126465,0.000502,0.543053,0.000891,0.438326,0.000898,0.270514,0.000498,0.162648,0.000601,0.109814,0.000652,0.077531,0.000475,0.127609,0.000453,0.169704,0.000522,0.168370,0.000413,80
cbf_safety_controller,bimanual_shelf_reach,contact_dropout,heldout_payload,0.603837,0.001378,0.401949,0.001505,0.177653,0.000730,0.143203,0.000529,0.536031,0.000900,0.429852,0.000963,0.274006,0.000512,0.168806,0.000609,0.114937,0.000647,0.080961,0.000408,0.131371,0.000477,0.184333,0.000437,0.182812,0.000386,80
cbf_safety_controller,bimanual_shelf_reach,delayed_recovery_opportunity,clean_deployment,0.625304,0.001460,0.458436,0.001739,0.150970,0.000778,0.129958,0.000514,0.544867,0.000981,0.438112,0.000774,0.269959,0.000502,0.174392,0.000657,0.109194,0.000635,0.076587,0.000413,0.126472,0.000445,0.169132,0.000492,0.168104,0.000417,80
cbf_safety_controller,bimanual_shelf_reach,delayed_recovery_opportunity,combined_stress,0.577412,0.001320,0.348736,0.001457,0.174776,0.000824,0.161186,0.000497,0.527574,0.000875,0.421162,0.000867,0.276381,0.000495,0.189549,0.000630,0.120157,0.000649,0.084085,0.000432,0.135090,0.000433,0.196740,0.000468,0.195014,0.000368,80
cbf_safety_controller,bimanual_shelf_reach,delayed_recovery_opportunity,heldout_layout,0.603981,0.001367,0.414189,0.001498,0.158390,0.000783,0.141689,0.000533,0.538200,0.000884,0.430279,0.000854,0.272479,0.000486,0.180884,0.000662,0.113725,0.000586,0.079324,0.000474,0.130063,0.000462,0.179522,0.000450,0.177908,0.000365,80
cbf_safety_controller,bimanual_shelf_reach,delayed_recovery_opportunity,heldout_object,0.614544,0.001496,0.435628,0.001627,0.155111,0.000707,0.135768,0.000510,0.541957,0.000811,0.434105,0.000811,0.271167,0.000519,0.178379,0.000679,0.111346,0.000612,0.078599,0.000469,0.128751,0.000459,0.174674,0.000397,0.173369,0.000375,80
cbf_safety_controller,bimanual_shelf_reach,delayed_recovery_opportunity,heldout_payload,0.594431,0.001472,0.382314,0.001779,0.169259,0.000721,0.153009,0.000517,0.533294,0.000876,0.425866,0.000885,0.274127,0.000467,0.184908,0.000640,0.116969,0.000593,0.082026,0.000448,0.132120,0.000436,0.189730,0.000480,0.188012,0.000428,80
cbf_safety_controller,bimanual_shelf_reach,low_friction_foot_contact,clean_deployment,0.661055,0.001470,0.569262,0.001735,0.131345,0.000713,0.095384,0.000513,0.562649,0.000919,0.459633,0.000844,0.262931,0.000539,0.123280,0.000626,0.103037,0.000643,0.068068,0.000447,0.118337,0.000421,0.133963,0.000434,0.133734,0.000375,80
cbf_safety_controller,bimanual_shelf_reach,low_friction_foot_contact,combined_stress,0.619172,0.001369,0.465206,0.001679,0.155306,0.000742,0.127013,0.000542,0.546226,0.000917,0.442526,0.000892,0.269848,0.000497,0.138434,0.000566,0.113876,0.000660,0.075809,0.000450,0.126273,0.000473,0.161910,0.000449,0.160883,0.000406,80
cbf_safety_controller,bimanual_shelf_reach,low_friction_foot_contact,heldout_layout,0.641885,0.001367,0.527403,0.001568,0.139374,0.000724,0.106474,0.000422,0.556195,0.000903,0.452732,0.000927,0.265596,0.000522,0.129514,0.000680,0.108068,0.000646,0.071234,0.000476,0.121674,0.000433,0.144091,0.000486,0.143540,0.000355,80
cbf_safety_controller,bimanual_shelf_reach,low_friction_foot_contact,heldout_object,0.650795,0.001353,0.546411,0.001515,0.135195,0.000730,0.101752,0.000471,0.558473,0.000818,0.455728,0.000824,0.264358,0.000507,0.126509,0.000628,0.106315,0.000584,0.070227,0.000440,0.120188,0.000473,0.139743,0.000429,0.139124,0.000341,80
cbf_safety_controller,bimanual_shelf_reach,low_friction_foot_contact,heldout_payload,0.634124,0.001413,0.496662,0.001642,0.149938,0.000817,0.119257,0.000494,0.550992,0.000971,0.448304,0.000908,0.267298,0.000539,0.133292,0.000649,0.110787,0.000638,0.072958,0.000474,0.123619,0.000474,0.154619,0.000435,0.153900,0.000388,80
cbf_safety_controller,bimanual_shelf_reach,narrow_support_polygon,clean_deployment,0.654576,0.001282,0.541690,0.001453,0.136907,0.000765,0.106057,0.000502,0.557135,0.000910,0.452305,0.000805,0.264989,0.000499,0.136341,0.000668,0.099955,0.000660,0.070958,0.000474,0.121529,0.000459,0.143268,0.000449,0.143016,0.000357,80
cbf_safety_controller,bimanual_shelf_reach,narrow_support_polygon,combined_stress,0.611627,0.001478,0.437432,0.001688,0.160867,0.000713,0.137105,0.000494,0.540010,0.000864,0.436360,0.000931,0.271399,0.000495,0.150994,0.000675,0.111280,0.000649,0.078452,0.000454,0.129077,0.000458,0.171298,0.000483,0.169835,0.000389,80
cbf_safety_controller,bimanual_shelf_reach,narrow_support_polygon,heldout_layout,0.634733,0.001417,0.499189,0.001760,0.145226,0.000787,0.117316,0.000534,0.550324,0.000884,0.446332,0.000959,0.267692,0.000515,0.142333,0.000612,0.104724,0.000618,0.073827,0.000459,0.124140,0.000458,0.153916,0.000467,0.152866,0.000438,80
cbf_safety_controller,bimanual_shelf_reach,narrow_support_polygon,heldout_object,0.642399,0.001400,0.515999,0.001594,0.141348,0.000665,0.113198,0.000481,0.553028,0.000919,0.448037,0.000931,0.266594,0.000542,0.139578,0.000672,0.102695,0.000630,0.072740,0.000457,0.122817,0.000443,0.149508,0.000400,0.148816,0.000362,80
cbf_safety_controller,bimanual_shelf_reach,narrow_support_polygon,heldout_payload,0.626637,0.001340,0.468199,0.001555,0.155941,0.000746,0.129695,0.000518,0.545294,0.000857,0.441548,0.000928,0.269310,0.000508,0.146236,0.000588,0.107217,0.000645,0.076051,0.000464,0.126247,0.000462,0.164383,0.000432,0.163177,0.000399,80
cbf_safety_controller,bimanual_shelf_reach,nominal_contacts,clean_deployment,0.682476,0.001358,0.616847,0.001443,0.123634,0.000767,0.085698,0.000464,0.569538,0.000886,0.467016,0.000907,0.260074,0.000468,0.111411,0.000701,0.085386,0.000625,0.064766,0.000457,0.114904,0.000413,0.121845,0.000498,0.121853,0.000403,80
cbf_safety_controller,bimanual_shelf_reach,nominal_contacts,combined_stress,0.648223,0.001403,0.520089,0.001733,0.148945,0.000808,0.116847,0.000487,0.552716,0.000849,0.450426,0.000866,0.266332,0.000547,0.126565,0.000665,0.096611,0.000594,0.072098,0.000420,0.122620,0.000399,0.149926,0.000431,0.149249,0.000403,80
cbf_safety_controller,bimanual_shelf_reach,nominal_contacts,heldout_layout,0.665475,0.001308,0.576698,0.001539,0.132413,0.000795,0.097014,0.000486,0.562692,0.000874,0.460482,0.000857,0.262383,0.000520,0.117520,0.000652,0.089667,0.000611,0.068176,0.000446,0.117857,0.000434,0.132253,0.000430,0.131926,0.000358,80
cbf_safety_controller,bimanual_shelf_reach,nominal_contacts,heldout_object,0.673299,0.001390,0.593645,0.001641,0.128985,0.000689,0.092534,0.000515,0.565626,0.000836,0.462187,0.000906,0.261302,0.000540,0.115015,0.000647,0.088039,0.000629,0.066530,0.000462,0.116617,0.000452,0.127971,0.000440,0.127902,0.000344,80
cbf_safety_controller,bimanual_shelf_reach,nominal_contacts,heldout_payload,0.659349,0.001226,0.546940,0.001496,0.143878,0.000760,0.109479,0.000462,0.558000,0.000847,0.455558,0.000854,0.264068,0.000508,0.121423,0.000625,0.093173,0.000582,0.070215,0.000424,0.120153,0.000423,0.143244,0.000457,0.142624,0.000383,80
cbf_safety_controller,bimanual_shelf_reach,one_hand_occupied,clean_deployment,0.661961,0.001327,0.562165,0.001552,0.135185,0.000750,0.099195,0.000495,0.560448,0.000845,0.455976,0.000895,0.263178,0.000498,0.129012,0.000627,0.094432,0.000616,0.069690,0.000479,0.119506,0.000449,0.137760,0.000501,0.137096,0.000406,80
cbf_safety_controller,bimanual_shelf_reach,one_hand_occupied,combined_stress,0.625225,0.001329,0.462451,0.001652,0.160041,0.000772,0.130700,0.000527,0.543431,0.000748,0.439023,0.001010,0.270109,0.000507,0.144420,0.000607,0.105632,0.000593,0.077368,0.000449,0.127659,0.000434,0.165700,0.000477,0.164588,0.000377,80
cbf_safety_controller,bimanual_shelf_reach,one_hand_occupied,heldout_layout,0.646539,0.001215,0.523528,0.001390,0.143204,0.000730,0.110824,0.000492,0.553247,0.000930,0.449153,0.000833,0.266408,0.000514,0.134879,0.000598,0.099213,0.000622,0.072626,0.000466,0.123031,0.000411,0.147431,0.000512,0.146982,0.000414,80
cbf_safety_controller,bimanual_shelf_reach,one_hand_occupied,heldout_object,0.652524,0.001320,0.539423,0.001576,0.139776,0.000760,0.106115,0.000558,0.556165,0.000934,0.452569,0.000888,0.264958,0.000519,0.132124,0.000662,0.097184,0.000591,0.071283,0.000469,0.121446,0.000490,0.143518,0.000448,0.142801,0.000404,80
cbf_safety_controller,bimanual_shelf_reach,one_hand_occupied,heldout_payload,0.639217,0.001398,0.493783,0.001714,0.153924,0.000754,0.122608,0.000530,0.548461,0.000829,0.444744,0.000922,0.268230,0.000446,0.139154,0.000661,0.101819,0.000586,0.074767,0.000463,0.124680,0.000401,0.158184,0.000438,0.157129,0.000391,80
