method,task,regime,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,bimanual_shelf_reach,unexpected_push,clean_deployment,0.637478,0.001347,0.497261,0.001645,0.140729,0.000732,0.125796,0.000502,0.550924,0.000903,0.446298,0.000862,0.266678,0.000526,0.148051,0.000641,0.101941,0.000616,0.073129,0.000480,0.123147,0.000465,0.156710,0.000435,0.155724,0.000360,80
cbf_safety_controller,bimanual_shelf_reach,unexpected_push,combined_stress,0.587106,0.001256,0.385905,0.001694,0.165140,0.000789,0.156172,0.000516,0.535247,0.000933,0.429503,0.000945,0.273591,0.000527,0.163079,0.000629,0.112040,0.000616,0.080569,0.000455,0.131457,0.000445,0.183963,0.000475,0.182342,0.000424,80
cbf_safety_controller,bimanual_shelf_reach,unexpected_push,heldout_layout,0.616291,0.001356,0.453936,0.001837,0.148603,0.000786,0.136606,0.000554,0.544833,0.000868,0.439077,0.000977,0.269604,0.000502,0.154164,0.000609,0.105983,0.000632,0.076014,0.000467,0.126975,0.000467,0.166284,0.000500,0.165175,0.000418,80
cbf_safety_controller,bimanual_shelf_reach,unexpected_push,heldout_object,0.624791,0.001554,0.472566,0.001898,0.144724,0.000808,0.131930,0.000496,0.547762,0.000950,0.442462,0.000852,0.268164,0.000519,0.151534,0.000582,0.104204,0.000691,0.074665,0.000390,0.124974,0.000504,0.161988,0.000467,0.160912,0.000406,80
cbf_safety_controller,bimanual_shelf_reach,unexpected_push,heldout_payload,0.605983,0.001417,0.420558,0.001736,0.159462,0.000693,0.148385,0.000491,0.539325,0.000909,0.434118,0.000880,0.271046,0.000513,0.159071,0.000592,0.109076,0.000630,0.078340,0.000446,0.128526,0.000423,0.177106,0.000487,0.175592,0.000384,80
cbf_safety_controller,box_lift_rebalance,compound_contact_scarcity,clean_deployment,0.563292,0.001426,0.347464,0.001754,0.172232,0.000789,0.152479,0.000531,0.540460,0.000912,0.429429,0.000862,0.274422,0.000473,0.193886,0.000660,0.124168,0.000610,0.081040,0.000415,0.132590,0.000435,0.193040,0.000473,0.191500,0.000420,80
cbf_safety_controller,box_lift_rebalance,compound_contact_scarcity,combined_stress,0.501284,0.001362,0.220564,0.001673,0.196855,0.000834,0.185246,0.000486,0.522332,0.000886,0.412168,0.000822,0.281441,0.000509,0.210380,0.000556,0.135688,0.000640,0.089452,0.000468,0.141607,0.000434,0.222475,0.000575,0.219823,0.000465,80
cbf_safety_controller,box_lift_rebalance,compound_contact_scarcity,heldout_layout,0.535817,0.001280,0.296439,0.001668,0.179567,0.000751,0.164363,0.000498,0.532842,0.000911,0.422566,0.000870,0.277422,0.000487,0.200876,0.000588,0.128745,0.000619,0.084847,0.000463,0.136129,0.000423,0.203657,0.000529,0.201606,0.000406,80
cbf_safety_controller,box_lift_rebalance,compound_contact_scarcity,heldout_object,0.547261,0.001266,0.318457,0.001523,0.176633,0.000787,0.158767,0.000532,0.536671,0.000891,0.426094,0.000873,0.275985,0.000552,0.197745,0.000619,0.127025,0.000664,0.083536,0.000469,0.134824,0.000433,0.198866,0.000401,0.197179,0.000387,80
cbf_safety_controller,box_lift_rebalance,compound_contact_scarcity,heldout_payload,0.522465,0.001360,0.259203,0.001436,0.190631,0.000816,0.176782,0.000480,0.526809,0.000880,0.417390,0.000880,0.278921,0.000523,0.205363,0.000703,0.132158,0.000656,0.087056,0.000405,0.138558,0.000380,0.214678,0.000465,0.212290,0.000403,80
cbf_safety_controller,box_lift_rebalance,contact_dropout,clean_deployment,0.597669,0.001402,0.436501,0.001637,0.162227,0.000798,0.121945,0.000525,0.552798,0.000894,0.443777,0.000891,0.268823,0.000500,0.165853,0.000618,0.106757,0.000620,0.076512,0.000414,0.126636,0.000433,0.167769,0.000439,0.166384,0.000368,80
cbf_safety_controller,box_lift_rebalance,contact_dropout,combined_stress,0.552905,0.001295,0.326454,0.001470,0.187606,0.000669,0.154309,0.000511,0.535210,0.000884,0.424838,0.000824,0.275983,0.000482,0.182093,0.000618,0.118676,0.000638,0.084670,0.000427,0.135445,0.000458,0.196735,0.000401,0.194751,0.000369,80
cbf_safety_controller,box_lift_rebalance,contact_dropout,heldout_layout,0.579068,0.001422,0.393135,0.001785,0.170764,0.000726,0.134099,0.000562,0.544947,0.000935,0.435998,0.000947,0.271960,0.000529,0.172468,0.000602,0.111609,0.000616,0.079947,0.000448,0.130448,0.000470,0.178543,0.000447,0.176910,0.000382,80
cbf_safety_controller,box_lift_rebalance,contact_dropout,heldout_object,0.587887,0.001429,0.413084,0.001610,0.166929,0.000825,0.128226,0.000474,0.548265,0.000905,0.439036,0.000953,0.271196,0.000468,0.169962,0.000726,0.109237,0.000656,0.077842,0.000461,0.128861,0.000431,0.173378,0.000498,0.172009,0.000374,80
cbf_safety_controller,box_lift_rebalance,contact_dropout,heldout_payload,0.569138,0.001435,0.358953,0.001630,0.182423,0.000785,0.146313,0.000502,0.539402,0.000956,0.430623,0.000838,0.274157,0.000518,0.177334,0.000649,0.114995,0.000633,0.081682,0.000477,0.132700,0.000447,0.189643,0.000482,0.187723,0.000401,80
cbf_safety_controller,box_lift_rebalance,delayed_recovery_opportunity,clean_deployment,0.594476,0.001240,0.422488,0.001401,0.153885,0.000710,0.132261,0.000524,0.550289,0.000886,0.439545,0.000891,0.270022,0.000517,0.181588,0.000609,0.108803,0.000632,0.077294,0.000443,0.128022,0.000435,0.173011,0.000447,0.171697,0.000403,80
cbf_safety_controller,box_lift_rebalance,delayed_recovery_opportunity,combined_stress,0.542694,0.001449,0.306399,0.001760,0.179104,0.000757,0.164503,0.000503,0.532368,0.000889,0.421279,0.000991,0.276753,0.000536,0.197086,0.000647,0.119997,0.000557,0.084857,0.000437,0.136313,0.000438,0.201588,0.000476,0.199625,0.000383,80
cbf_safety_controller,box_lift_rebalance,delayed_recovery_opportunity,heldout_layout,0.573115,0.001380,0.378044,0.001660,0.162271,0.000714,0.143429,0.000532,0.543248,0.000840,0.433297,0.000877,0.272885,0.000490,0.188203,0.000630,0.113668,0.000616,0.080099,0.000423,0.131446,0.000411,0.183270,0.000548,0.181671,0.000432,80
cbf_safety_controller,box_lift_rebalance,delayed_recovery_opportunity,heldout_object,0.581995,0.001485,0.397717,0.001854,0.158137,0.000764,0.137975,0.000508,0.546013,0.000842,0.435106,0.000891,0.271360,0.000478,0.185447,0.000673,0.111047,0.000659,0.078730,0.000487,0.129552,0.000445,0.178372,0.000520,0.176862,0.000417,80
cbf_safety_controller,box_lift_rebalance,delayed_recovery_opportunity,heldout_payload,0.559956,0.001516,0.340572,0.001809,0.173180,0.000761,0.156441,0.000484,0.537289,0.000836,0.427945,0.000955,0.275063,0.000535,0.192319,0.000609,0.117192,0.000546,0.082207,0.000438,0.133716,0.000426,0.194317,0.000463,0.192469,0.000412,80
cbf_safety_controller,box_lift_rebalance,low_friction_foot_contact,clean_deployment,0.631098,0.001175,0.535345,0.001457,0.134214,0.000800,0.096889,0.000512,0.567772,0.000816,0.461991,0.000880,0.263376,0.000500,0.129503,0.000657,0.102723,0.000648,0.068399,0.000425,0.119566,0.000415,0.136840,0.000454,0.136720,0.000391,80
cbf_safety_controller,box_lift_rebalance,low_friction_foot_contact,combined_stress,0.585102,0.001363,0.425273,0.001578,0.159138,0.000689,0.128987,0.000510,0.550238,0.000932,0.444293,0.000866,0.269495,0.000514,0.145997,0.000705,0.114256,0.000611,0.076217,0.000427,0.127729,0.000467,0.165864,0.000408,0.164782,0.000328,80
cbf_safety_controller,box_lift_rebalance,low_friction_foot_contact,heldout_layout,0.611941,0.001329,0.492442,0.001590,0.142145,0.000720,0.108681,0.000536,0.560880,0.000831,0.454922,0.000885,0.266262,0.000479,0.136872,0.000622,0.106927,0.000601,0.072096,0.000426,0.122802,0.000434,0.147643,0.000481,0.147012,0.000395,80
cbf_safety_controller,box_lift_rebalance,low_friction_foot_contact,heldout_object,0.620544,0.001353,0.512610,0.001625,0.138461,0.000716,0.103076,0.000494,0.564907,0.000802,0.457952,0.000827,0.264293,0.000444,0.133491,0.000640,0.104456,0.000655,0.070245,0.000430,0.121221,0.000417,0.142472,0.000424,0.142106,0.000360,80
cbf_safety_controller,box_lift_rebalance,low_friction_foot_contact,heldout_payload,0.601122,0.001465,0.458081,0.001530,0.153655,0.000708,0.121343,0.000527,0.556546,0.000868,0.449418,0.000911,0.267455,0.000479,0.140613,0.000555,0.110226,0.000622,0.073829,0.000451,0.124727,0.000455,0.158773,0.000416,0.157705,0.000341,80
cbf_safety_controller,box_lift_rebalance,narrow_support_polygon,clean_deployment,0.621516,0.001341,0.504966,0.001683,0.140202,0.000744,0.107775,0.000515,0.562457,0.000858,0.455793,0.000836,0.264536,0.000520,0.142473,0.000601,0.099368,0.000610,0.070980,0.000457,0.121730,0.000426,0.146818,0.000452,0.146140,0.000449,80
cbf_safety_controller,box_lift_rebalance,narrow_support_polygon,combined_stress,0.579407,0.001406,0.397701,0.001656,0.165721,0.000706,0.139814,0.000528,0.543827,0.000763,0.437667,0.000949,0.272262,0.000484,0.158971,0.000601,0.110424,0.000626,0.078655,0.000442,0.130645,0.000433,0.175630,0.000476,0.174303,0.000429,80
cbf_safety_controller,box_lift_rebalance,narrow_support_polygon,heldout_layout,0.604765,0.001352,0.464352,0.001712,0.148438,0.000788,0.119352,0.000552,0.555367,0.000938,0.448075,0.000810,0.267688,0.000543,0.149088,0.000668,0.103970,0.000645,0.074607,0.000428,0.125297,0.000446,0.157231,0.000515,0.156318,0.000414,80
cbf_safety_controller,box_lift_rebalance,narrow_support_polygon,heldout_object,0.611023,0.001281,0.481338,0.001428,0.144004,0.000723,0.114227,0.000501,0.558987,0.000882,0.450387,0.000892,0.266703,0.000474,0.146332,0.000627,0.102349,0.000585,0.072971,0.000404,0.123909,0.000433,0.152452,0.000494,0.151627,0.000400,80
cbf_safety_controller,box_lift_rebalance,narrow_support_polygon,heldout_payload,0.595209,0.001363,0.430586,0.001387,0.159647,0.000770,0.132137,0.000533,0.550119,0.000869,0.442779,0.000853,0.269756,0.000498,0.153579,0.000628,0.107243,0.000598,0.076783,0.000453,0.127386,0.000437,0.168347,0.000446,0.167184,0.000384,80
cbf_safety_controller,box_lift_rebalance,nominal_contacts,clean_deployment,0.652013,0.001353,0.582745,0.001624,0.127184,0.000749,0.086974,0.000487,0.575413,0.000877,0.469748,0.000948,0.259165,0.000505,0.117811,0.000615,0.084528,0.000634,0.065498,0.000487,0.115674,0.000445,0.124832,0.000411,0.125003,0.000345,80
cbf_safety_controller,box_lift_rebalance,nominal_contacts,combined_stress,0.613750,0.001369,0.479356,0.001772,0.152708,0.000736,0.119136,0.000493,0.557664,0.000906,0.451076,0.000886,0.267005,0.000458,0.133680,0.000638,0.096573,0.000645,0.073165,0.000485,0.124073,0.000418,0.153991,0.000457,0.153199,0.000388,80
cbf_safety_controller,box_lift_rebalance,nominal_contacts,heldout_layout,0.635627,0.001323,0.541745,0.001593,0.136326,0.000830,0.098644,0.000491,0.568338,0.000937,0.461868,0.000914,0.262217,0.000487,0.124797,0.000643,0.089745,0.000643,0.068304,0.000455,0.118728,0.000401,0.135746,0.000482,0.135569,0.000414,80
cbf_safety_controller,box_lift_rebalance,nominal_contacts,heldout_object,0.644244,0.001306,0.562566,0.001631,0.131741,0.000736,0.092828,0.000494,0.571499,0.000933,0.465801,0.000881,0.261087,0.000518,0.121291,0.000615,0.086999,0.000690,0.066482,0.000444,0.117541,0.000452,0.130500,0.000449,0.130211,0.000405,80
cbf_safety_controller,box_lift_rebalance,nominal_contacts,heldout_payload,0.627870,0.001577,0.510431,0.001882,0.146934,0.000749,0.111428,0.000467,0.562235,0.000890,0.457393,0.000875,0.264370,0.000542,0.128663,0.000671,0.092668,0.000649,0.070514,0.000477,0.120945,0.000441,0.146682,0.000444,0.146055,0.000369,80
cbf_safety_controller,box_lift_rebalance,one_hand_occupied,clean_deployment,0.630654,0.001303,0.527671,0.001640,0.137813,0.000734,0.100649,0.000515,0.566218,0.000839,0.458882,0.000875,0.263465,0.000538,0.135190,0.000633,0.093173,0.000655,0.069899,0.000429,0.120588,0.000455,0.140072,0.000546,0.139837,0.000448,80
cbf_safety_controller,box_lift_rebalance,one_hand_occupied,combined_stress,0.592607,0.001313,0.424302,0.001611,0.163332,0.000767,0.133001,0.000519,0.547574,0.000941,0.440778,0.000928,0.270710,0.000500,0.151438,0.000651,0.104693,0.000642,0.077863,0.000478,0.129135,0.000426,0.169658,0.000484,0.168174,0.000422,80
cbf_safety_controller,box_lift_rebalance,one_hand_occupied,heldout_layout,0.613973,0.001495,0.486495,0.001685,0.146345,0.000740,0.112574,0.000487,0.558228,0.000926,0.451612,0.000831,0.266722,0.000501,0.141934,0.000690,0.098514,0.000592,0.072898,0.000428,0.123387,0.000436,0.151075,0.000491,0.150291,0.000390,80
cbf_safety_controller,box_lift_rebalance,one_hand_occupied,heldout_object,0.622402,0.001446,0.505563,0.001539,0.142510,0.000742,0.107009,0.000485,0.560819,0.000861,0.454629,0.000887,0.265068,0.000529,0.139428,0.000599,0.096393,0.000632,0.071755,0.000432,0.122160,0.000448,0.146453,0.000462,0.145684,0.000389,80
cbf_safety_controller,box_lift_rebalance,one_hand_occupied,heldout_payload,0.607117,0.001411,0.456381,0.001674,0.157258,0.000712,0.124735,0.000462,0.553079,0.000958,0.446324,0.000914,0.268810,0.000527,0.145795,0.000611,0.101663,0.000628,0.075287,0.000436,0.125384,0.000422,0.162141,0.000410,0.160671,0.000367,80
cbf_safety_controller,box_lift_rebalance,unexpected_push,clean_deployment,0.606585,0.001397,0.462711,0.001490,0.143499,0.000845,0.127373,0.000526,0.556917,0.000809,0.448773,0.000924,0.266530,0.000515,0.155254,0.000644,0.100567,0.000576,0.073435,0.000468,0.123892,0.000499,0.159750,0.000437,0.158791,0.000378,80
cbf_safety_controller,box_lift_rebalance,unexpected_push,combined_stress,0.553475,0.001264,0.342963,0.001417,0.169923,0.000757,0.160071,0.000538,0.538709,0.000959,0.429961,0.000829,0.274285,0.000500,0.171373,0.000641,0.112985,0.000700,0.081455,0.000423,0.133291,0.000448,0.189239,0.000482,0.187668,0.000418,80
cbf_safety_controller,box_lift_rebalance,unexpected_push,heldout_layout,0.582437,0.001421,0.413926,0.001671,0.152936,0.000797,0.138708,0.000449,0.549287,0.000925,0.441154,0.000937,0.269446,0.000471,0.161869,0.000656,0.105544,0.000645,0.076957,0.000431,0.127871,0.000434,0.170576,0.000477,0.169306,0.000370,80
cbf_safety_controller,box_lift_rebalance,unexpected_push,heldout_object,0.592005,0.001353,0.433995,0.001504,0.147901,0.000781,0.134022,0.000516,0.551836,0.000918,0.443827,0.000832,0.269027,0.000512,0.158863,0.000602,0.104298,0.000679,0.075264,0.000406,0.126352,0.000422,0.165584,0.000450,0.164578,0.000410,80
